,movieId,title,genres,overview,popularity,release_date,vote_average,vote_count,year
34,34,Babe,"['Children', 'Drama']","Babe is a little pig who doesn't quite know his place in the world. With a bunch of odd friends, like Ferdinand the duck who thinks he is a rooster and Fly the dog he calls mum, Babe realises that he has the makings to become the greatest sheep pig of all time, and Farmer Hogget knows it. With the help of the sheep dogs, Babe learns that a pig can be anything that he wants to be.",26.805,1995-07-18,6.191,2679,1995
35,36,Dead Man Walking,"['Crime', 'Drama']",A death row inmate turns for spiritual guidance to a local nun in the days leading up to his scheduled execution for the murders of a young couple.,22.886,1995-12-29,7.342,1241,1995
36,38,It Takes Two,"['Children', 'Comedy']","Identical 9-year-olds from very different backgrounds: orphaned Amanda and wealthy Alyssa meet at summer camp and decide to switch places -- and play matchmaker between Alyssa's dad, Roger, and the kind social worker who cares for Amanda.",19.177,1995-11-17,6.5,821,1995
37,39,Clueless,"['Comedy', 'Romance']","Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other. Emboldened by her success, she decides to give hopelessly klutzy new student Tai a makeover. When Tai becomes more popular than she is, Cher realizes that her disapproving ex-stepbrother was right about how misguided she was -- and falls for him.",37.137,1995-07-19,7.273,4068,1995
38,42,Dead Presidents,"['Action', 'Crime', 'Drama']",On the streets they call cash dead presidents. And that's just what a Vietnam veteran is after when he returns home from the war only to find himself drawn into a life of crime. With the aid of his fellow vets he plans the ultimate heist -- a daring robbery of an armored car filled with unmarked U.S. currency!,14.848,1995-10-06,6.663,264,1995
39,44,Mortal Kombat,"['Action', 'Adventure', 'Fantasy']","For nine generations an evil sorcerer has been victorious in hand-to-hand battle against his mortal enemies. If he wins a tenth Mortal Kombat tournament, desolation and evil will reign over the multiverse forever. To save Earth, three warriors must overcome seemingly insurmountable odds, their own inner demons, and superhuman foes in this action/adventure movie based on one of the most popular video games of all time.",27.106,1995-08-18,5.84,2100,1995
41,45,To Die For,"['Comedy', 'Drama', 'Thriller']","Suzanne Stone wants to be a world-famous news anchor and she is willing to do anything to get what she wants. What she lacks in intelligence, she makes up for in cold determination and diabolical wiles. As she pursues her goal with relentless focus, she is forced to destroy anything and anyone that may stand in her way, regardless of the ultimate cost or means necessary.",17.941,1995-09-22,6.574,709,1995
42,46,How to Make an American Quilt,"['Drama', 'Romance']","Soon-to-be-wed graduate student Finn Dodd develops cold feet when she suspects her fiancé is cheating on her. In order to clear her head, Finn visits her grandmother, Hy, and great aunt, Glady Joe Cleary, in Grasse, Calif. There, Finn learns that Hy and Glady Joe are members of a group of passionate quilters, and over the course of her visit she is regaled with tales of love and life by women who have collected rich experiences and much wisdom.",14.284,1995-10-06,6.4,168,1995
43,48,Pocahontas,"['Animation', 'Children', 'Drama', 'Musical', 'Romance']","Pocahontas, daughter of a Native American tribe chief, falls in love with an English soldier as colonists invade 17th century Virginia.",51.114,1995-06-14,6.928,5342,1995
44,49,When Night Is Falling,"['Drama', 'Romance']","A prudish woman working on tenure as a literacy professor at a large urban university finds herself attracted to a free-spirited, liberal woman who works at a local carnival.",14.906,1995-02-01,6.234,64,1995
45,52,Mighty Aphrodite,"['Comedy', 'Drama', 'Romance']","When Lenny and his wife, Amanda, adopt a baby, Lenny realizes that his son is a genius and becomes obsessed with finding the boy's biological mother in hopes that she will be brilliant too. But when he learns that Max's mother is Linda Ash, a kindhearted prostitute and porn star, Lenny is determined to reform her immoral lifestyle. A Greek chorus chimes in to relate the plot to Greek mythology in this quirky comedy.",22.945,1995-09-13,6.722,601,1995
46,53,Lamerica,"['Adventure', 'Drama']","Fiore, an Italian conman, arrives in post Communist Albania with Gino, his young apprentice, to set up a shoe factory that will never open. The con requires a native Albanian, so they designate Spiro, an impoverished and confused former political prisoner as chairman of the board. When Fiore returns to Italy to get government funds for the project, Spiro unexpectedly disappears and Gino sets out on a journey to find him. The search leads him to discover Spiro's tragic personal history and witness Albanian poverty firsthand.",6.839,1994-09-09,7.202,52,1994
47,63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,"['Comedy', 'Crime']","When Ashtray moves to South Central L.A. to live with his father (who appears to be the same age he is) and grandmother (who likes to talk tough and smoke reefer), he falls in with his gang-banging cousin Loc Dog, who along with the requisite pistols and Uzi carries a thermo-nuclear warhead for self-defense. Will Ashtray be able to keep living the straight life?",47.525,1996-01-12,6.973,1169,1996
48,65,Bio-Dome,['Comedy'],"Bud and Doyle are two losers who are doing nothing with their lives. Both of their girlfriends are actively involved in saving the environment, but the two friends couldn't care less about saving the Earth. One day, when a group of scientists begin a mission to live inside a ""Bio-Dome"" for a year without outside contact, Bud and Doyle mistakenly become part of the project themselves.",11.143,1996-01-12,4.54,328,1996
49,69,Friday,['Comedy'],"Craig and Smokey are two guys in Los Angeles hanging out on their porch on a Friday afternoon, smoking and drinking, looking for something to do.",35.21,1995-04-26,7.152,1620,1995
51,70,From Dusk Till Dawn,"['Action', 'Comedy', 'Horror', 'Thriller']","Seth Gecko and his younger brother Richard are on the run after a bloody bank robbery in Texas. They escape across the border into Mexico and will be home-free the next morning, when they pay off the local kingpin. They just have to survive 'from dusk till dawn' at the rendezvous point, which turns out to be a Hell of a strip joint.",43.114,1996-01-19,7.015,5470,1996
52,71,Fair Game,['Action'],"Wife and mother Valerie Plame has a double life as a CIA operative, hiding her vocation from family and friends. Her husband, Joseph Wilson, writes a controversial article in The New York Times, refuting stories about the sale of enriched uranium to Iraq, Then Valerie's secret work and identity is leaked to the press. With her cover blown and other people endangered, Valerie's career and personal life begin to unravel.",14.232,2010-05-20,6.463,715,2010
53,76,Screamers,"['Action', 'Sci-Fi', 'Thriller']","SIRIUS 6B, Year 2078. On a distant mining planet ravaged by a decade of war, scientists have created the perfect weapon: a blade-wielding, self-replicating race of killing devices known as Screamers designed for one purpose only -- to hunt down and destroy all enemy life forms.",17.193,1995-09-08,6.2,489,1995
54,81,Things to Do in Denver When You're Dead,"['Crime', 'Drama', 'Romance']",Five different criminals face imminent death after botching a job quite badly.,14.404,1995-12-01,6.493,340,1995
55,86,White Squall,"['Action', 'Adventure', 'Drama']","In 1960, a hardy group of prep school students boards an old-fashioned sailing ship. With Capt. Christopher Sheldon at the helm, the oceangoing voyage is intended to teach the boys fortitude and discipline. But the youthful crew are about to get some unexpected instruction in survival when they get caught in the clutches of a white squall storm.",17.249,1996-02-02,6.283,323,1996
56,87,Dunston Checks In,"['Children', 'Comedy']","Hotel manager Robert Grant is forced by his boss to postpone his family vacation when a hotel critic checks in. Trouble is, the critic is really a villainous jewel thief with an orangutan assistant named Dunston. When Dunston gets loose and tries to escape a life of crime -- aided by Robert's sons -- havoc, hijinks and lots of laughs abound!",12.875,1996-01-12,5.402,206,1996
57,88,Black Sheep,['Comedy'],"When dignified Albert Donnelly runs for Governor, his team moves to keep his slow-witted and klutzy younger brother, Mike, out of the eye of the media. To baby-sit Mike, the campaign assigns sarcastic Steve, who gets the experience of a lifetime when he tries to take Mike out of town during the election.",11.909,1996-02-01,5.989,367,1996
59,55553,Black Sheep,"['Comedy', 'Horror']","When dignified Albert Donnelly runs for Governor, his team moves to keep his slow-witted and klutzy younger brother, Mike, out of the eye of the media. To baby-sit Mike, the campaign assigns sarcastic Steve, who gets the experience of a lifetime when he tries to take Mike out of town during the election.",11.909,1996-02-01,5.989,367,1996
61,89,Nick of Time,"['Action', 'Thriller']","An unimpressive, every-day man is forced into a situation where he is told to kill a politician to save his kidnapped daughter.",20.562,1995-11-22,6.175,650,1995
62,92,Mary Reilly,"['Drama', 'Horror', 'Thriller']","A housemaid falls in love with Dr. Jekyll and his darkly mysterious counterpart, Mr. Hyde.",13.737,1996-02-23,5.784,287,1996
63,93,Vampire in Brooklyn,"['Comedy', 'Horror', 'Romance']","Detective Rita Veder is assigned to a baffling serial murder case. After examining the crime scene — a corpse-filled ship found adrift at sea — Rita meets Maximilian, a smooth-talking Caribbean playboy determined to romance her. When Rita begins suffering from crippling hallucinations, she calls upon Dr. Zeko, an occultist who suspects a vampire is on the loose.",17.564,1995-10-26,5.0,527,1995
64,94,Beautiful Girls,"['Comedy', 'Drama', 'Romance']","During a snowy winter in the small fictional town of Knight's Ridge, Massachusetts, a group of lifelong buddies hang out, drink and struggle to connect with the women who affect their decisions, dreams and desires.",14.193,1996-02-09,6.639,327,1996
65,95,Broken Arrow,"['Action', 'Adventure', 'Thriller']","When rogue stealth-fighter pilot Vic Deakins deliberately drops off the radar while on maneuvers, the Air Force ends up with two stolen nuclear warheads -- and Deakins's co-pilot, Riley Hale, is the military's only hope for getting them back. Traversing the deserted canyons of Utah, Hale teams with park ranger Terry Carmichael to put Deakins back in his box.",19.386,1996-02-09,6.033,1371,1996
66,54121,Broken Arrow,"['Drama', 'Romance', 'Western']","When rogue stealth-fighter pilot Vic Deakins deliberately drops off the radar while on maneuvers, the Air Force ends up with two stolen nuclear warheads -- and Deakins's co-pilot, Riley Hale, is the military's only hope for getting them back. Traversing the deserted canyons of Utah, Hale teams with park ranger Terry Carmichael to put Deakins back in his box.",19.386,1996-02-09,6.033,1371,1996
67,101,Bottle Rocket,"['Adventure', 'Comedy', 'Crime', 'Romance']","Dysfunctional friends Dignan and Anthony plan and execute a robbery with their pot-growing friend, Bob. The short film that inspired Wes Anderson’s feature debut.",10.05,1994-01-20,6.297,178,1994
69,104,Happy Gilmore,['Comedy'],"Failed hockey player-turned-golf whiz Happy Gilmore -- whose unconventional approach and antics on the grass courts the ire of rival Shooter McGavin -- is determined to win a PGA tournament so he can save his granny's house with the prize money. Meanwhile, an attractive tour publicist tries to soften Happy's image.",27.89,1996-02-16,6.628,2439,1996
70,107,Muppet Treasure Island,"['Adventure', 'Children', 'Comedy', 'Musical']","After telling the story of Flint's last journey to young Jim Hawkins, Billy Bones has a heart attack and dies just as Jim and his friends are attacked by pirates. The gang escapes into the town where they hire out a boat and crew to find the hidden treasure, which was revealed by Bones before he died. On their voyage across the seas, they soon find out that not everyone on board can be trusted.",16.458,1996-02-16,6.636,353,1996
71,110,Braveheart,"['Action', 'Drama', 'War']","Enraged at the slaughter of Murron, his new bride and childhood love, Scottish warrior William Wallace slays a platoon of the local English lord's soldiers. This leads the village to revolt and, eventually, the entire country to rise up against English rule.",56.639,1995-05-24,7.935,9454,1995
72,111,Taxi Driver,"['Crime', 'Drama', 'Thriller']",A mentally unstable Vietnam War veteran works as a night-time taxi driver in New York City where the perceived decadence and sleaze feed his urge for violent action.,54.932,1976-02-09,8.154,11264,1976
73,118,If Lucy Fell,"['Comedy', 'Romance']","Joe and Lucy are roommates and best friends. Lucy, whose love life is embarrassingly dull, convinces Joe, who is infatuated with a neighbor he's never met, that if they don't have stable romances within a month, they must jump off the Brooklyn Bridge.",6.317,1996-03-08,5.024,42,1996
74,122,Boomerang,"['Comedy', 'Romance']","Marcus is a successful advertising executive who woos and beds women almost at will. After a company merger he finds that his new boss, the ravishing Jacqueline, is treating him in exactly the same way. Completely traumatised by this, his work goes badly downhill.",20.917,1992-06-30,5.665,516,1992
75,135,Down Periscope,['Comedy'],"Maverick Navy Lieutenant Commander Tom Dodge will never be a textbook officer, but he's a brilliant seaman who's always wanted to command a nuclear submarine — he's been given one last chance to clean up his record. Unfortunately, Admiral Graham, his nemesis, would rather sink the fleet than give Dodge his own boat. So, Graham stacks the deck against him and assigns Dodge to the Stingray, a diesel-powered WW2 submarine that can barely keep afloat. To make matters worse, Dodge's crew is a collection of maladjusted, mistake-prone misfits. Then, he's tagged the ""enemy"" in a crucial war game, and ordered to take on the U.S. Navy's best.",17.892,1996-03-01,6.27,402,1996
76,137,Man of the Year,['Documentary'],"The irreverent host of a political satire talk show decides to run for president and expose corruption in Washington. His stunt goes further than he expects when he actually wins the election, but a software engineer suspects that a computer glitch is responsible for his surprising victory.",9.292,2006-10-09,5.91,404,2006
77,48593,Man of the Year,"['Comedy', 'Thriller']","The irreverent host of a political satire talk show decides to run for president and expose corruption in Washington. His stunt goes further than he expects when he actually wins the election, but a software engineer suspects that a computer glitch is responsible for his surprising victory.",9.292,2006-10-09,5.91,404,2006
78,145,Bad Boys,"['Action', 'Comedy', 'Crime', 'Drama', 'Thriller']","Marcus Burnett is a hen-pecked family man. Mike Lowry is a foot-loose and fancy free ladies' man. Both are Miami policemen, and both have 72 hours to reclaim a consignment of drugs stolen from under their station's nose. To complicate matters, in order to get the assistance of the sole witness to a murder, they have to pretend to be each other.",39.903,1995-04-07,6.793,5815,1995
79,150,Apollo 13,"['Adventure', 'Drama', 'IMAX']","The true story of technical troubles that scuttle the Apollo 13 lunar mission in 1970, risking the lives of astronaut Jim Lovell and his crew, with the failed journey turning into a thrilling saga of heroism. Drifting more than 200,000 miles from Earth, the astronauts work furiously with the ground crew to avert tragedy.",26.12,1995-06-30,7.447,5040,1995
80,151,Rob Roy,"['Action', 'Drama', 'Romance', 'War']","In the highlands of Scotland in the 1700s, Rob Roy tries to lead his small town to a better future, by borrowing money from the local nobility to buy cattle to herd to market. When the money is stolen, Rob is forced into a Robin Hood lifestyle to defend his family and honour.",17.71,1995-04-13,6.721,568,1995
81,153,Batman Forever,"['Action', 'Adventure', 'Comedy', 'Crime']",Batman must battle a disfigured district attorney and a disgruntled former employee with help from an amorous psychologist and a young circus acrobat.,35.754,1995-06-16,5.407,4821,1995
82,158,Casper,"['Adventure', 'Children']","Casper is a kind young ghost who peacefully haunts a mansion in Maine. When specialist James Harvey arrives to communicate with Casper and his fellow spirits, he brings along his teenage daughter, Kat. Casper quickly falls in love with Kat, but their budding relationship is complicated not only by his transparent state, but also by his troublemaking apparition uncles and their mischievous antics.",41.457,1995-05-26,6.312,4324,1995
83,160,Congo,"['Action', 'Adventure', 'Mystery', 'Sci-Fi']","Eight people embark on an expedition into the Congo, a mysterious expanse of unexplored Africa where human greed and the laws of nature have gone berserk. When the thrill-seekers -- some with ulterior motives -- stumble across a race of killer apes.",25.764,1995-06-09,5.5,796,1995
84,161,Crimson Tide,"['Drama', 'Thriller', 'War']","After the Cold War, a breakaway Russian republic with nuclear warheads becomes a possible worldwide threat. U.S. submarine Capt. Frank Ramsey signs on a relatively green but highly recommended Lt. Cmdr. Ron Hunter to the USS Alabama, which may be the only ship able to stop a possible Armageddon. When Ramsay insists that the Alabama must act aggressively, Hunter, fearing they will start rather than stop a disaster, leads a potential mutiny to stop him.",27.273,1995-05-12,7.2,1593,1995
85,162,Crumb,['Documentary'],"This movie chronicles the life and times of R. Crumb. Robert Crumb is the cartoonist/artist who drew Keep On Truckin', Fritz the Cat, and played a major pioneering role in the genesis of underground comix. Through interviews with his mother, two brothers, wife, and ex-girlfriends, as well as selections from his vast quantity of graphic art, we are treated to a darkly comic ride through one man's subconscious mind.",9.002,1995-04-28,7.579,222,1995
86,163,Desperado,"['Action', 'Romance', 'Western']","Mariachi plunges headfirst into the dark border underworld when he follows a trail of blood to the last of the infamous Mexican drug lords, Bucho, for an action-packed, bullet-riddled showdown. With the help of his best friend and a beautiful bookstore owner, the Mariachi tracks Bucho, takes on his army of desperados, and leaves a trail of blood of his own.",29.008,1995-08-25,6.922,2624,1995
87,164,Devil in a Blue Dress,"['Crime', 'Film-Noir', 'Mystery', 'Thriller']","In late 1940s Los Angeles, Easy Rawlins is an unemployed black World War II veteran with few job prospects. At a bar, Easy meets DeWitt Albright, a mysterious white man looking for someone to investigate the disappearance of a missing white woman named Daphne Monet, who he suspects is hiding out in one of the city's black jazz clubs. Strapped for money and facing house payments, Easy takes the job, but soon finds himself in over his head.",14.076,1995-09-15,6.4,341,1995
88,165,Die Hard: With a Vengeance,"['Action', 'Crime', 'Thriller']","New York detective John McClane is back and kicking bad-guy butt in the third installment of this action-packed series, which finds him teaming with civilian Zeus Carver to prevent the loss of innocent lives. McClane thought he'd seen it all, until a genius named Simon engages McClane, his new ""partner"" -- and his beloved city -- in a deadly game that demands their concentration.",43.336,1995-05-19,7.257,5658,1995
89,168,First Knight,"['Action', 'Drama', 'Romance']","The timeless tale of King Arthur and the legend of Camelot are retold in this passionate period drama. Arthur is reluctant to hand the crown to Lancelot, and Guinevere is torn between her loyalty to her husband and her growing love for his rival. But Lancelot must balance his loyalty to the throne with the rewards of true love.",19.728,1995-07-07,6.06,1091,1995
90,169,Free Willy 2: The Adventure Home,"['Adventure', 'Children', 'Drama']",Jesse becomes reunited with Willy three years after the whale's jump to freedom as the teenager tries to rescue the killer whale and other orcas from an oil spill.,17.069,1995-07-19,5.908,543,1995
91,170,Hackers,"['Action', 'Adventure', 'Crime', 'Thriller']","Along with his new friends, a teenager who was arrested by the US Secret Service and banned from using a computer for writing a computer virus discovers a plot by a nefarious hacker, but they must use their computer skills to find the evidence while being pursued by the Secret Service and the evil computer genius behind the virus.",26.916,1995-09-14,6.328,1162,1995
92,172,Johnny Mnemonic,"['Action', 'Sci-Fi', 'Thriller']","In a dystopian 2021, Johnny is a data trafficker who has an implant that allows him to securely store data too sensitive for regular computer networks. On one delivery run, he accepts a package that not only exceeds the implant's safety limits—and will kill him if the data is not removed in time—but also contains information far more important and valuable than he had ever imagined. On a race against time, he must avoid the assassins sent to kill him and remove the data before it, too, ends his life.",24.441,1995-05-26,5.747,1235,1995
93,173,Judge Dredd,"['Action', 'Crime', 'Sci-Fi']","In a dystopian future, Dredd, the most famous judge (a cop with instant field judiciary powers) is convicted for a crime he did not commit while his murderous counterpart escapes.",31.323,1995-06-30,5.778,2205,1995
94,175,Kids,['Drama'],"A day in the life of a group of teens as they travel around New York City skating, drinking, smoking and deflowering virgins.",19.654,1995-07-28,6.9,1022,1995
95,176,Living in Oblivion,['Comedy'],"Nick is the director of a low-budget indie film. He tries to keep everything together as his production is plagued with an insecure actress, a megalomaniac star, a pretentious, beret-wearing director of photography, and lousy catering.",9.146,1995-07-21,7.196,255,1995
96,177,Lord of Illusions,['Horror'],"During a routine case in L.A., NY private investigator Harry D'Amour stumbles over members of a fanatic cult who are preparing for the resurrection of their leader Nix, a powerful magician who was killed 13 years earlier.",13.145,1995-08-25,5.993,288,1995
97,179,Mad Love,"['Drama', 'Romance']",An insane surgeon's obsession with an actress leads him to replace her wounded pianist husband's hands with the hands of a knife murderer--hands which still have the urge to throw knives.,6.781,1935-07-12,6.965,100,1935
98,180,Mallrats,"['Comedy', 'Romance']","Both dumped by their girlfriends, two best friends seek refuge in the local mall. Eventually, they decide to try and win back their significant others and take care of their respective nemeses.",19.861,1995-10-20,6.764,1138,1995
99,181,Mighty Morphin Power Rangers: The Movie,"['Action', 'Children']","Six incredible teens out-maneuver and defeat evil everywhere as the Mighty Morphin Power Rangers, but this time the Power Rangers may have met their match when they face off with Ivan Ooze, the most sinister monster the galaxy has ever seen.",21.4,1995-06-30,5.813,643,1995
100,186,Nine Months,"['Comedy', 'Romance']","When he finds out his longtime girlfriend is pregnant, a commitment-phobe realizes he might have to change his lifestyle for better or much, much worse.",17.176,1995-07-12,5.715,598,1995
