,movieId,title,genres,movie_vector
22,26,Othello (1995),['Drama'],[0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0]
23,28,Persuasion (1995),"['Drama', 'Romance']",[0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0]
24,31,Dangerous Minds (1995),['Drama'],[0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0]
25,34,Babe (1995),"['Children', 'Drama']",[0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0]
26,36,Dead Man Walking (1995),"['Crime', 'Drama']",[0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0]
27,38,It Takes Two (1995),"['Children', 'Comedy']",[0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
28,39,Clueless (1995),"['Comedy', 'Romance']",[0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
29,42,Dead Presidents (1995),"['Action', 'Crime', 'Drama']",[0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0]
30,44,Mortal Kombat (1995),"['Action', 'Adventure', 'Fantasy']",[1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0]
31,45,To Die For (1995),"['Comedy', 'Drama', 'Thriller']",[0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0]
32,46,How to Make an American Quilt (1995),"['Drama', 'Romance']",[0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0]
33,48,Pocahontas (1995),"['Animation', 'Children', 'Drama', 'Musical', 'Romance']",[0 1 1 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0]
34,49,When Night Is Falling (1995),"['Drama', 'Romance']",[0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0]
35,52,Mighty Aphrodite (1995),"['Comedy', 'Drama', 'Romance']",[0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0]
36,53,Lamerica (1994),"['Adventure', 'Drama']",[1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0]
37,63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),"['Comedy', 'Crime']",[0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0]
38,65,Bio-Dome (1996),['Comedy'],[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
39,69,Friday (1995),['Comedy'],[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
40,70,From Dusk Till Dawn (1996),"['Action', 'Comedy', 'Horror', 'Thriller']",[0 0 0 1 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0]
41,71,Fair Game (1995),['Action'],[0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0]
42,76,Screamers (1995),"['Action', 'Sci-Fi', 'Thriller']",[0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0]
43,81,Things to Do in Denver When You're Dead (1995),"['Crime', 'Drama', 'Romance']",[0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0]
44,86,White Squall (1996),"['Action', 'Adventure', 'Drama']",[1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0]
45,87,Dunston Checks In (1996),"['Children', 'Comedy']",[0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
46,88,Black Sheep (1996),['Comedy'],[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
47,89,Nick of Time (1995),"['Action', 'Thriller']",[0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0]
48,92,Mary Reilly (1996),"['Drama', 'Horror', 'Thriller']",[0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0]
49,93,Vampire in Brooklyn (1995),"['Comedy', 'Horror', 'Romance']",[0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0]
50,94,Beautiful Girls (1996),"['Comedy', 'Drama', 'Romance']",[0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0]
51,95,Broken Arrow (1996),"['Action', 'Adventure', 'Thriller']",[1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0]
52,101,Bottle Rocket (1996),"['Adventure', 'Comedy', 'Crime', 'Romance']",[1 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0]
53,104,Happy Gilmore (1996),['Comedy'],[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
54,107,Muppet Treasure Island (1996),"['Adventure', 'Children', 'Comedy', 'Musical']",[1 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0]
55,110,Braveheart (1995),"['Action', 'Drama', 'War']",[0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0]
56,111,Taxi Driver (1976),"['Crime', 'Drama', 'Thriller']",[0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0]
57,118,If Lucy Fell (1996),"['Comedy', 'Romance']",[0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
58,122,Boomerang (1992),"['Comedy', 'Romance']",[0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
59,135,Down Periscope (1996),['Comedy'],[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
60,137,Man of the Year (1995),['Documentary'],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0]
61,145,Bad Boys (1995),"['Action', 'Comedy', 'Crime', 'Drama', 'Thriller']",[0 0 0 1 0 0 1 1 1 0 1 0 0 0 0 0 0 0 0 0]
62,150,Apollo 13 (1995),"['Adventure', 'Drama', 'IMAX']",[1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0]
63,151,Rob Roy (1995),"['Action', 'Drama', 'Romance', 'War']",[0 0 0 0 0 1 1 0 0 0 1 0 0 0 1 0 0 0 0 0]
64,153,Batman Forever (1995),"['Action', 'Adventure', 'Comedy', 'Crime']",[1 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0]
65,158,Casper (1995),"['Adventure', 'Children']",[1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
66,160,Congo (1995),"['Action', 'Adventure', 'Mystery', 'Sci-Fi']",[1 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0]
67,161,Crimson Tide (1995),"['Drama', 'Thriller', 'War']",[0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0]
68,162,Crumb (1994),['Documentary'],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0]
69,163,Desperado (1995),"['Action', 'Romance', 'Western']",[0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0]
70,164,Devil in a Blue Dress (1995),"['Crime', 'Film-Noir', 'Mystery', 'Thriller']",[0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 1 0]
71,165,Die Hard: With a Vengeance (1995),"['Action', 'Crime', 'Thriller']",[0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0]
72,168,First Knight (1995),"['Action', 'Drama', 'Romance']",[0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0]
73,169,Free Willy 2: The Adventure Home (1995),"['Adventure', 'Children', 'Drama']",[1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0]
74,170,Hackers (1995),"['Action', 'Adventure', 'Crime', 'Thriller']",[1 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0]
75,172,Johnny Mnemonic (1995),"['Action', 'Sci-Fi', 'Thriller']",[0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0]
76,173,Judge Dredd (1995),"['Action', 'Crime', 'Sci-Fi']",[0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0]
77,175,Kids (1995),['Drama'],[0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0]
78,176,Living in Oblivion (1995),['Comedy'],[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
79,177,Lord of Illusions (1995),['Horror'],[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0]
80,179,Mad Love (1995),"['Drama', 'Romance']",[0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0]
81,180,Mallrats (1995),"['Comedy', 'Romance']",[0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
82,181,Mighty Morphin Power Rangers: The Movie (1995),"['Action', 'Children']",[0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0]
83,186,Nine Months (1995),"['Comedy', 'Romance']",[0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
84,187,Party Girl (1995),['Comedy'],[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
85,190,Safe (1995),['Thriller'],[0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0]
86,193,Showgirls (1995),['Drama'],[0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0]
87,195,Something to Talk About (1995),"['Comedy', 'Drama', 'Romance']",[0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0]
88,196,Species (1995),"['Horror', 'Sci-Fi']",[0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0]
89,198,Strange Days (1995),"['Action', 'Crime', 'Drama', 'Mystery', 'Sci-Fi', 'Thriller']",[0 0 0 0 0 0 1 1 1 0 1 1 1 0 0 0 0 0 0 0]
90,202,Total Eclipse (1995),"['Drama', 'Romance']",[0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0]
91,203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",['Comedy'],[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
92,204,Under Siege 2: Dark Territory (1995),['Action'],[0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0]
93,208,Waterworld (1995),"['Action', 'Adventure', 'Sci-Fi']",[1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0]
94,215,Before Sunrise (1995),"['Drama', 'Romance']",[0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0]
95,216,Billy Madison (1995),['Comedy'],[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
96,220,Castle Freak (1995),['Horror'],[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0]
97,223,Clerks (1994),['Comedy'],[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
98,224,Don Juan DeMarco (1995),"['Comedy', 'Drama', 'Romance']",[0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0]
99,225,Disclosure (1994),"['Drama', 'Thriller']",[0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0]
100,230,Dolores Claiborne (1995),"['Drama', 'Thriller']",[0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0]
101,235,Ed Wood (1994),"['Comedy', 'Drama']",[0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0]
102,236,French Kiss (1995),"['Action', 'Comedy', 'Romance']",[0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0]
103,247,Heavenly Creatures (1994),"['Crime', 'Drama']",[0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0]
104,252,I.Q. (1994),"['Comedy', 'Romance']",[0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
105,256,Junior (1994),"['Comedy', 'Sci-Fi']",[0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0]
106,261,Little Women (1994),['Drama'],[0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0]
107,266,Legends of the Fall (1994),"['Drama', 'Romance', 'War', 'Western']",[0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 1 0 0]
108,267,Major Payne (1995),['Comedy'],[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
109,274,Man of the House (1995),['Comedy'],[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
110,276,Milk Money (1994),"['Comedy', 'Romance']",[0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
111,277,Miracle on 34th Street (1994),['Drama'],[0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0]
112,281,Nobody's Fool (1994),"['Comedy', 'Drama', 'Romance']",[0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0]
113,282,Nell (1994),['Drama'],[0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0]
114,288,Natural Born Killers (1994),"['Action', 'Crime', 'Thriller']",[0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0]
115,289,Only You (1994),"['Comedy', 'Romance']",[0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
116,292,Outbreak (1995),"['Action', 'Drama', 'Sci-Fi', 'Thriller']",[0 0 0 0 0 0 1 0 1 0 1 0 1 0 0 0 0 0 0 0]
117,296,Pulp Fiction (1994),"['Comedy', 'Crime', 'Drama', 'Thriller']",[0 0 0 1 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0]
118,299,Priest (1994),['Drama'],[0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0]
119,300,Quiz Show (1994),['Drama'],[0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0]
120,316,Stargate (1994),"['Action', 'Adventure', 'Sci-Fi']",[1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0]
121,319,Shallow Grave (1994),"['Comedy', 'Drama', 'Thriller']",[0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0]
122,329,Star Trek: Generations (1994),"['Adventure', 'Drama', 'Sci-Fi']",[1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0]
123,332,Village of the Damned (1995),"['Horror', 'Sci-Fi']",[0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0]
124,333,Tommy Boy (1995),['Comedy'],[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
125,337,What's Eating Gilbert Grape (1993),['Drama'],[0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0]
126,338,Virtuosity (1995),"['Action', 'Sci-Fi', 'Thriller']",[0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0]
127,339,While You Were Sleeping (1995),"['Comedy', 'Romance']",[0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
128,344,Ace Ventura: Pet Detective (1994),['Comedy'],[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
129,347,Bitter Moon (1992),"['Drama', 'Film-Noir', 'Romance']",[0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0]
130,348,Bullets Over Broadway (1994),['Comedy'],[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
131,349,Clear and Present Danger (1994),"['Action', 'Crime', 'Drama', 'Thriller']",[0 0 0 0 0 0 1 1 1 0 1 0 0 0 0 0 0 0 0 0]
132,351,"Corrina, Corrina (1994)","['Comedy', 'Drama', 'Romance']",[0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0]
133,356,Forrest Gump (1994),"['Comedy', 'Drama', 'Romance', 'War']",[0 0 0 1 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0]
134,357,Four Weddings and a Funeral (1994),"['Comedy', 'Romance']",[0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
135,360,I Love Trouble (1994),"['Action', 'Comedy']",[0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0]
136,361,It Could Happen to You (1994),"['Comedy', 'Drama', 'Romance']",[0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0]
137,365,Little Buddha (1993),['Drama'],[0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0]
138,368,Maverick (1994),"['Adventure', 'Comedy', 'Western']",[1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]
139,372,Reality Bites (1994),"['Comedy', 'Drama', 'Romance']",[0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0]
140,377,Speed (1994),"['Action', 'Romance', 'Thriller']",[0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0]
141,379,Timecop (1994),"['Action', 'Sci-Fi', 'Thriller']",[0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0]
142,380,True Lies (1994),"['Action', 'Adventure', 'Comedy', 'Romance', 'Thriller']",[1 0 0 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0]
143,382,Wolf (1994),"['Drama', 'Horror', 'Romance', 'Thriller']",[0 0 0 0 0 1 0 0 1 1 1 0 0 0 0 0 0 0 0 0]
144,383,Wyatt Earp (1994),['Western'],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]
145,384,Bad Company (1995),"['Action', 'Crime', 'Drama']",[0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0]
146,386,S.F.W. (1994),['Drama'],[0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0]
147,393,Street Fighter (1994),"['Action', 'Adventure', 'Fantasy']",[1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0]
148,407,In the Mouth of Madness (1995),"['Horror', 'Thriller']",[0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0]
149,409,Above the Rim (1994),"['Crime', 'Drama']",[0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0]
150,410,Addams Family Values (1993),"['Children', 'Comedy', 'Fantasy']",[0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
151,413,Airheads (1994),['Comedy'],[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
152,420,Beverly Hills Cop III (1994),"['Action', 'Comedy', 'Crime', 'Thriller']",[0 0 0 1 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0]
153,421,Black Beauty (1994),"['Adventure', 'Children', 'Drama']",[1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0]
154,422,Blink (1994),['Thriller'],[0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0]
155,427,Boxing Helena (1993),"['Drama', 'Mystery', 'Romance', 'Thriller']",[0 0 0 0 0 1 0 0 1 0 1 1 0 0 0 0 0 0 0 0]
156,431,Carlito's Way (1993),"['Crime', 'Drama']",[0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0]
157,432,City Slickers II: The Legend of Curly's Gold (1994),"['Adventure', 'Comedy', 'Western']",[1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]
158,434,Cliffhanger (1993),"['Action', 'Adventure', 'Thriller']",[1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0]
159,435,Coneheads (1993),"['Comedy', 'Sci-Fi']",[0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0]
160,436,Color of Night (1994),"['Drama', 'Thriller']",[0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0]
161,440,Dave (1993),"['Comedy', 'Romance']",[0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
162,441,Dazed and Confused (1993),['Comedy'],[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
163,442,Demolition Man (1993),"['Action', 'Adventure', 'Sci-Fi']",[1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0]
164,445,Fatal Instinct (1993),['Comedy'],[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
165,448,Fearless (1993),['Drama'],[0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0]
166,453,For Love or Money (1993),"['Comedy', 'Romance']",[0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
167,455,Free Willy (1993),"['Adventure', 'Children', 'Drama']",[1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0]
168,456,Fresh (1994),"['Crime', 'Drama', 'Thriller']",[0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0]
169,461,Go Fish (1994),"['Drama', 'Romance']",[0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0]
170,464,Hard Target (1993),"['Action', 'Adventure', 'Crime', 'Thriller']",[1 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0]
171,466,Hot Shots! Part Deux (1993),"['Action', 'Comedy', 'War']",[0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0]
172,470,House Party 3 (1994),['Comedy'],[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
173,473,In the Army Now (1994),"['Comedy', 'War']",[0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0]
174,474,In the Line of Fire (1993),"['Action', 'Thriller']",[0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0]
175,475,In the Name of the Father (1993),['Drama'],[0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0]
176,477,What's Love Got to Do with It? (1993),"['Drama', 'Musical']",[0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0]
177,479,Judgment Night (1993),"['Action', 'Crime', 'Thriller']",[0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0]
178,480,Jurassic Park (1993),"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",[1 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0]
179,481,Kalifornia (1993),"['Drama', 'Thriller']",[0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0]
180,484,Lassie (1994),"['Adventure', 'Children']",[1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
181,485,Last Action Hero (1993),"['Action', 'Adventure', 'Comedy', 'Fantasy']",[1 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0]
182,486,Life with Mikey (1993),['Comedy'],[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
183,487,Lightning Jack (1994),"['Comedy', 'Western']",[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]
184,488,M. Butterfly (1993),"['Drama', 'Romance']",[0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0]
185,490,Malice (1993),['Thriller'],[0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0]
186,492,Manhattan Murder Mystery (1993),"['Comedy', 'Mystery']",[0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0]
187,493,Menace II Society (1993),"['Action', 'Crime', 'Drama']",[0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0]
188,494,Executive Decision (1996),"['Action', 'Adventure', 'Thriller']",[1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0]
189,497,Much Ado About Nothing (1993),"['Comedy', 'Romance']",[0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
190,500,Mrs. Doubtfire (1993),"['Comedy', 'Drama']",[0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0]
191,501,Naked (1993),['Drama'],[0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0]
