,userId,user_era_vector
66,67,[0.         4.04545455 4.25       4.        ]
67,68,[3.08333333 3.02372263 3.35913313 3.62765957]
68,69,[5.         4.5        3.81818182 0.        ]
69,70,[4.1875     4.42307692 4.375      4.5       ]
70,71,[3.         3.61111111 0.         0.        ]
71,72,[0.      3.96875 4.      0.     ]
72,73,[4.75       3.5        3.70394737 3.7755102 ]
73,74,[4.45454545 4.35294118 4.08823529 4.        ]
74,75,[3.29166667 3.14705882 2.5        0.        ]
75,76,[2.85       2.78947368 3.33870968 3.        ]
76,77,[0.         0.         3.40909091 4.        ]
77,78,[4.25       3.10344828 2.25       0.        ]
78,79,[3.85714286 4.1875     0.         0.        ]
79,80,[5.         4.2        4.31538462 4.225     ]
80,81,[0.         2.73333333 0.         0.        ]
81,82,[2.75       3.27777778 3.43076923 3.5       ]
82,83,[3.55555556 2.94736842 3.3        3.        ]
83,84,[3.72093023 3.67391304 4.         4.        ]
84,85,[5.  3.7 2.  0. ]
85,86,[0.   3.85 4.   0.  ]
86,87,[4.25 3.75 2.   0.  ]
87,88,[5.         3.66666667 4.03333333 0.        ]
88,89,[2.62121212 2.96       3.2745098  3.41      ]
89,90,[4.  4.5 4.  0. ]
90,91,[3.64285714 3.18461538 3.54081633 4.        ]
91,92,[4.         4.28571429 4.         0.        ]
92,93,[0.    4.375 0.    0.   ]
93,94,[0.         3.08571429 0.         0.        ]
94,95,[4.33333333 4.15116279 3.71875    4.5       ]
95,96,[3.5        3.75862069 4.         3.5       ]
96,97,[4.         3.33333333 4.14285714 0.        ]
97,98,[4.2        4.16666667 3.79545455 4.14705882]
98,99,[0.         3.96774194 0.         0.        ]
99,100,[4.         3.87878788 3.94444444 2.        ]
100,101,[0.  3.5 3.4 0. ]
101,102,[0.         3.17647059 0.         0.        ]
102,103,[4.2        4.125      3.74390244 3.69354839]
103,104,[3.5625     3.33606557 3.59821429 3.57142857]
104,105,[4.38888889 4.28947368 3.87700535 4.06716418]
105,106,[0.         0.         4.25       4.33333333]
106,107,[4.         3.88888889 0.         0.        ]
107,108,[3.66666667 3.9375     3.8        5.        ]
108,109,[3.         3.23076923 0.         3.        ]
109,110,[4.375  3.6875 3.625  0.    ]
110,111,[3.75       3.38983051 3.16315789 3.6092437 ]
111,112,[0.         2.72       4.1        4.16666667]
112,113,[4.28571429 3.04878049 1.5        0.        ]
113,114,[0.         4.         3.45454545 3.7       ]
114,115,[4.5        3.62222222 4.14285714 5.        ]
115,116,[3.33333333 3.47142857 4.1        3.5       ]
116,117,[4.    3.225 0.    0.   ]
117,118,[0.         3.90909091 0.         0.        ]
118,119,[4.         3.77272727 4.07758621 4.21818182]
119,120,[2.  3.3 0.  0. ]
120,121,[0.         3.17142857 0.         0.        ]
121,122,[4.58333333 4.58888889 4.52083333 4.31707317]
122,123,[0.         4.         4.15384615 4.10714286]
123,124,[0.         3.95454545 4.41666667 0.        ]
124,125,[3.58333333 4.30769231 3.60416667 3.82843137]
125,126,[0.         3.13636364 0.         0.        ]
126,127,[3.75       2.33333333 2.5        0.        ]
127,128,[4.55555556 4.         0.         4.        ]
128,129,[4.         3.875      3.79545455 0.        ]
129,130,[0.         3.33333333 0.         0.        ]
130,131,[3.88888889 3.07692308 2.95833333 0.        ]
131,132,[3.23333333 2.98255814 3.16447368 2.25      ]
132,133,[0.         2.88888889 0.         0.        ]
133,134,[0.         3.52631579 0.         0.        ]
134,135,[4.6        3.47761194 3.9        4.        ]
135,136,[0.         3.31578947 0.         0.        ]
136,137,[4.25       3.72413793 3.25       4.5       ]
137,138,[5.  2.1 5.  0. ]
138,139,[1.5        1.         2.03061224 2.11538462]
139,140,[3.67045455 3.6641791  3.38053097 0.        ]
140,141,[0.         3.36764706 3.41509434 4.6       ]
141,142,[0.         3.83333333 0.         0.        ]
142,143,[1.         3.45       3.34615385 3.58333333]
143,144,[3.66666667 3.40178571 4.19230769 0.        ]
144,145,[0.     3.1875 0.     0.    ]
145,146,[3.5        3.         3.21428571 0.        ]
146,147,[3.  3.5 0.  0. ]
147,148,[0.    4.    3.625 4.   ]
148,149,[3.5        2.55555556 0.         1.        ]
149,150,[3.         3.45454545 0.         0.        ]
150,151,[0.         3.76666667 0.         0.        ]
151,152,[4.2        4.41666667 3.65384615 3.64285714]
152,153,[1.2        1.93103448 2.32857143 2.39655172]
153,154,[0.         5.         4.875      4.23076923]
154,155,[0.         3.57894737 4.         0.        ]
155,156,[4.00961538 3.48571429 3.84782609 3.5       ]
156,157,[3.         3.54545455 3.5        0.        ]
157,158,[3.25 2.75 3.5  0.  ]
158,159,[0.         3.16666667 3.34       3.33333333]
159,160,[2.74242424 2.61006289 3.         2.        ]
160,161,[3.75   3.5625 3.375  0.    ]
161,162,[0.   4.25 0.   0.  ]
162,163,[0.         3.15384615 0.         3.        ]
163,164,[4.         4.06666667 4.         0.        ]
164,165,[3.33333333 3.75       3.4375     2.        ]
165,166,[4.         3.95       4.17272727 0.        ]
166,167,[2.94444444 3.14130435 3.55714286 5.        ]
167,168,[4.725      3.76470588 4.625      0.        ]
168,169,[4.42857143 4.34375    4.1640625  4.25      ]
169,170,[3.         3.44827586 0.         0.        ]
170,171,[4.88888889 4.64       0.         0.        ]
171,172,[3.         3.94444444 4.         0.        ]
172,173,[0.         3.27777778 0.         0.        ]
173,174,[0.         3.64285714 0.         0.        ]
174,175,[0.         5.         3.79166667 0.        ]
175,176,[0.         3.95238095 0.         0.        ]
176,177,[3.67045455 3.12681159 3.32900433 3.77358491]
177,178,[0.         4.16666667 3.8        0.        ]
178,179,[3.         3.72222222 0.         0.        ]
179,180,[3.83333333 3.3        0.         3.5       ]
180,181,[3.         2.96666667 0.         3.        ]
181,182,[3.94736842 3.54347826 3.20608108 3.5625    ]
182,183,[4.     4.0625 2.     0.    ]
183,184,[0.         0.         3.45       3.69090909]
184,185,[3.33333333 3.27272727 4.         0.        ]
185,186,[4.29268293 3.96774194 4.         4.        ]
186,187,[4.27777778 3.58333333 3.41836735 4.5       ]
187,188,[4.6        4.18181818 0.         0.        ]
188,189,[0.  4.  4.1 0. ]
189,190,[4.5        4.5        3.68181818 4.5       ]
190,191,[5.         3.48648649 0.         5.        ]
191,192,[0.         4.07692308 0.         0.        ]
192,193,[5.         2.92857143 3.4        0.        ]
193,194,[3.5 3.4 0.  0. ]
194,195,[3.2        3.64788732 3.36842105 3.        ]
195,196,[2.         3.78571429 3.75       4.33333333]
196,197,[4.66666667 3.66666667 0.         0.        ]
197,198,[3.5        3.45       3.27272727 1.        ]
198,199,[4.046875   3.17977528 3.50862069 3.        ]
199,200,[3.84615385 3.75882353 3.72380952 0.        ]
200,201,[3.5        4.05555556 0.         0.        ]
201,202,[3.87755102 3.74452555 0.         3.        ]
202,203,[3.         3.29166667 3.86363636 4.        ]
203,204,[4.75       4.35       4.22222222 2.16666667]
204,205,[2.5        3.83333333 3.9375     3.7       ]
205,206,[3.         4.15384615 0.         0.        ]
206,207,[4.5        2.72222222 0.         4.        ]
207,208,[0.         3.30769231 0.         0.        ]
208,209,[0.         4.28571429 4.65       3.5       ]
209,210,[0.         3.5        4.17741935 4.11428571]
210,211,[3.8        3.875      3.79166667 3.5       ]
211,212,[3.66666667 3.15384615 3.61458333 3.65909091]
212,213,[4.         3.84375    3.72058824 4.        ]
213,214,[3.  2.8 0.  0. ]
214,215,[4.5        3.73333333 4.05882353 0.        ]
215,216,[4.05555556 3.31428571 3.27272727 0.        ]
216,217,[2.76363636 2.75       3.         3.        ]
217,218,[4.125      2.78571429 3.         0.        ]
218,219,[3.46875    3.01190476 3.12091503 2.        ]
219,220,[4.04545455 3.88541667 3.775      0.        ]
220,221,[4.3245614 4.1       4.        5.       ]
221,222,[3.625      3.06521739 3.25       3.11363636]
222,223,[2.25       2.8        3.69444444 0.        ]
223,224,[4.5  4.24 5.   0.  ]
224,225,[3.         3.84848485 0.         4.        ]
225,226,[3.65909091 3.51290323 3.34821429 4.        ]
226,227,[3.5        4.31818182 4.11904762 4.19230769]
227,228,[0.         3.5        3.66666667 0.        ]
228,229,[0.         3.72972973 0.         0.        ]
229,230,[2.64285714 2.52222222 3.55769231 3.        ]
230,231,[3.5        3.83333333 5.         3.        ]
231,232,[2.95652174 3.31666667 3.27806122 3.        ]
232,233,[3.25       3.525      3.33823529 2.72222222]
233,234,[4.         3.36781609 3.75       0.        ]
234,235,[0.         3.55263158 0.         0.        ]
235,236,[3.5 4.1 0.  0. ]
236,237,[3.66666667 3.1        3.33333333 3.5       ]
237,238,[4.28571429 3.1        3.85714286 2.        ]
238,239,[4.         3.86144578 4.03623188 0.        ]
239,240,[3.66666667 3.89705882 0.         0.        ]
240,241,[3.25       3.55555556 4.18421053 3.95      ]
241,242,[4.         3.31578947 0.         0.        ]
242,243,[0.         4.08333333 0.         0.        ]
243,244,[4.66666667 3.86046512 4.5        0.        ]
244,245,[3.         2.28571429 0.         0.        ]
245,246,[3.6875     4.22413793 4.28409091 4.42307692]
246,247,[3.18181818 3.725      3.53333333 3.91666667]
247,248,[0.         3.625      4.         3.61111111]
248,249,[3.86       3.54098361 3.54770318 3.86778846]
249,250,[5.         4.04166667 4.         5.        ]
250,251,[4.75 5.   2.5  0.  ]
251,252,[0.         4.25       4.33333333 4.15625   ]
252,253,[4.         4.64285714 4.5        0.        ]
253,254,[3.83333333 3.89583333 3.91891892 0.        ]
254,255,[2.33333333 2.46666667 2.         0.        ]
255,256,[3.         4.42307692 3.88135593 3.98333333]
256,257,[3.33333333 3.14285714 4.         0.        ]
257,258,[0.         4.5        4.83333333 2.83333333]
258,259,[0.         2.81818182 4.3125     0.        ]
259,260,[3.76666667 4.09375    3.38       0.        ]
260,261,[4.5        3.19230769 3.84615385 4.        ]
261,262,[3.33333333 2.95       0.         0.        ]
262,263,[3.5        3.63793103 3.83333333 4.        ]
263,264,[2.5        3.42105263 3.58333333 0.        ]
264,265,[3.44444444 3.36666667 3.5        0.        ]
265,266,[4.         3.32978723 0.         0.        ]
266,267,[4.         4.0952381  4.66666667 0.        ]
267,268,[3.875      2.89361702 2.         0.        ]
268,269,[0.         3.42857143 0.         0.        ]
269,270,[4.         3.29411765 0.         0.        ]
270,271,[3.5        3.0625     3.21428571 0.        ]
271,272,[0.  3.  3.4 3.5]
272,273,[4.         3.86666667 0.         0.        ]
273,274,[3.3220339  3.36298932 3.10492228 3.        ]
274,275,[4.625      4.03669725 3.66666667 3.        ]
275,276,[4.         4.23809524 0.         0.        ]
276,277,[0.   3.75 0.   0.  ]
277,278,[0.         3.78571429 0.         0.        ]
278,279,[4.2        3.6        3.44444444 3.59722222]
279,280,[3.85714286 3.63513514 3.89830508 4.4375    ]
280,281,[0.  3.  3.8 0. ]
281,282,[3.92307692 4.08730159 3.88596491 4.25      ]
282,283,[0.         3.27777778 0.         0.        ]
283,284,[0.   3.86 0.   0.  ]
284,285,[4.5        3.66666667 2.         0.        ]
285,286,[3.75       3.62162162 3.66666667 3.        ]
286,287,[2.16666667 2.46590909 2.68333333 2.5       ]
287,288,[3.31818182 2.94727273 3.42222222 3.25      ]
288,289,[4.     3.4375 0.     0.    ]
289,290,[4.61818182 3.85074627 4.         5.        ]
290,291,[0.         4.         4.72727273 4.14285714]
291,292,[3.65625    3.25301205 3.34042553 3.22222222]
292,293,[0.         2.58333333 2.         2.        ]
293,294,[3.22727273 2.53191489 3.5        0.        ]
294,295,[4.         3.31818182 4.4        0.        ]
295,296,[0.         4.16666667 2.33333333 3.83333333]
296,297,[2.         2.47368421 0.         0.        ]
297,298,[3.02380952 2.76886792 2.17198582 2.19140625]
298,299,[3.5  3.25 4.   0.  ]
299,300,[0.         4.         4.14285714 4.6       ]
300,301,[4.5        3.025      3.76923077 0.        ]
301,302,[0.     3.6875 0.     0.    ]
302,303,[4.66666667 3.88888889 4.2        0.        ]
303,304,[4.25       3.82568807 0.         5.        ]
304,305,[4.34722222 3.86419753 3.87179487 3.55339806]
305,306,[2.66666667 3.25       3.23214286 3.325     ]
306,307,[3.13636364 2.55785124 2.81674208 2.25      ]
307,308,[2.875      1.54166667 2.96428571 4.33333333]
308,309,[3.85483871 3.05555556 3.91666667 0.        ]
309,310,[4.6        2.61111111 3.35       0.        ]
310,311,[2.         1.71428571 1.75       1.5       ]
311,312,[4.13793103 3.71641791 3.39130435 0.        ]
312,313,[3.38095238 3.44444444 3.6875     3.        ]
313,314,[3.25       2.95384615 0.         2.        ]
314,315,[3.38461538 0.         0.         0.        ]
315,316,[3.         2.81578947 3.07692308 0.        ]
316,317,[3.88888889 4.         3.73076923 3.4       ]
317,318,[3.63636364 3.74747475 3.66756757 3.8       ]
318,319,[4.         4.58333333 4.41666667 4.28571429]
319,320,[0.         2.         3.77777778 0.        ]
320,321,[0.  3.5 0.  0. ]
321,322,[3.38888889 3.30645161 3.35714286 0.        ]
322,323,[0.         3.0625     0.         2.86363636]
323,324,[0.         3.33333333 3.75       0.        ]
324,325,[3.73333333 3.28395062 3.45454545 0.        ]
325,326,[3.5        3.625      3.9375     3.76315789]
326,327,[3.66666667 4.09090909 4.45833333 0.        ]
327,328,[3.4516129  3.08333333 3.07843137 2.83333333]
328,329,[3.08333333 4.5        0.         0.        ]
329,330,[3.81818182 3.39325843 4.21666667 0.        ]
330,331,[3.5        3.8125     3.34       4.08333333]
331,332,[3.95833333 3.5        3.55102041 2.86363636]
332,333,[2.33333333 3.         2.25       0.        ]
333,334,[3.6        3.35185185 3.27906977 0.        ]
334,335,[4.5 3.3 4.  0. ]
335,336,[2.5        4.325      4.11111111 0.        ]
336,337,[4.         4.21212121 0.         0.        ]
337,338,[0.         4.66666667 3.5        1.8125    ]
338,339,[4.33333333 4.22058824 4.05729167 3.85576923]
339,340,[0.         4.27777778 0.         0.        ]
340,341,[0.         3.75       3.79166667 3.86363636]
341,342,[1.         3.10344828 3.6        0.        ]
342,343,[4.5  4.25 4.   0.  ]
343,344,[1.         4.35714286 3.25       4.125     ]
344,345,[4.09090909 3.9375     4.         4.5       ]
345,346,[4.11904762 3.4137931  3.625      0.        ]
346,347,[0.         3.51851852 0.         0.        ]
347,348,[4.5        4.72727273 4.57142857 0.        ]
348,349,[0.         3.90909091 0.         0.        ]
349,350,[3.    3.375 0.    0.   ]
350,351,[4.         3.66666667 3.73684211 3.55555556]
351,352,[4.375      3.90789474 3.64285714 3.94      ]
352,353,[0.         3.40425532 0.         0.        ]
353,354,[3.44444444 3.83333333 3.59574468 4.        ]
354,355,[4.14285714 3.83333333 0.         0.        ]
355,356,[4.15       3.95774648 3.87857143 0.        ]
356,357,[4.15277778 3.79292929 3.97183099 4.4       ]
357,358,[4.         3.2        3.53846154 4.        ]
358,359,[3.5        3.3125     3.16666667 0.        ]
359,360,[0.         3.66666667 2.         4.        ]
360,361,[2.5        3.02380952 3.48214286 0.        ]
361,362,[4.5625     4.27777778 4.15909091 3.875     ]
362,363,[0.         3.35       0.         2.33333333]
363,364,[5.    4.375 0.    0.   ]
364,365,[2.5        3.         2.71153846 2.85606061]
365,366,[0.         4.25       3.72727273 3.5       ]
366,367,[4.27272727 3.90909091 3.61290323 1.        ]
367,368,[3.13636364 2.73770492 3.33333333 2.5       ]
368,369,[2.875     3.2195122 3.84375   3.       ]
369,370,[0.         3.53703704 3.57894737 0.        ]
370,371,[4.25       4.45454545 4.375      5.        ]
371,372,[3.3        3.52173913 2.5        0.        ]
372,373,[5.         2.92307692 0.         0.        ]
373,374,[3.5    3.6875 0.     0.    ]
374,375,[3.  3.5 5.  0. ]
375,376,[4.25       3.82222222 4.33333333 5.        ]
376,377,[4.16071429 3.5        3.         3.5       ]
377,378,[4.5        4.4        3.79166667 3.75      ]
378,379,[0.         3.40909091 0.         0.        ]
379,380,[3.82191781 3.75255102 3.54440789 3.77232143]
380,381,[3.06666667 3.51546392 3.6557971  0.        ]
381,382,[4.125      3.55555556 3.34       3.65714286]
382,383,[4.         3.92307692 0.         0.        ]
383,384,[2.66666667 2.9        3.6        0.        ]
384,385,[3.31578947 3.24675325 0.         3.        ]
385,386,[0.         2.70731707 0.         3.        ]
386,387,[3.56716418 2.93080357 3.05603448 2.75      ]
387,388,[2.    2.    4.5   4.375]
388,389,[0.    3.875 0.    0.   ]
389,390,[4.5        3.72222222 3.64583333 5.        ]
390,391,[4.54545455 3.59349593 2.91666667 3.5       ]
391,392,[4.         3.44444444 2.         0.        ]
392,393,[2.75       3.88888889 3.36170213 3.81818182]
393,394,[0.         2.92857143 0.         0.        ]
394,395,[2.33333333 3.05882353 0.         3.        ]
395,396,[4.75   2.4375 3.     0.    ]
396,397,[4.5   3.875 0.    0.   ]
397,398,[4.8        3.91666667 3.42857143 0.        ]
398,399,[0.   4.05 3.9  0.  ]
399,400,[4.5        4.83333333 4.3125     4.16666667]
400,401,[4.         3.07142857 3.60344828 3.5       ]
401,402,[5.         3.92307692 0.         3.        ]
402,403,[2.75       3.83333333 3.78571429 0.        ]
403,404,[0.         3.39393939 0.         0.        ]
404,405,[4.33333333 3.87931034 4.07407407 0.        ]
405,406,[3.5  2.75 4.25 0.  ]
406,407,[0.         3.5        3.91666667 5.        ]
407,408,[4.2        4.14705882 4.         3.86363636]
408,409,[4.625      3.55555556 3.         0.        ]
409,410,[4.34782609 3.80487805 4.         4.        ]
410,411,[3.      3.34375 4.      0.     ]
411,412,[4.5     3.84375 4.      5.     ]
412,413,[5.         4.73076923 4.38461538 4.16666667]
413,414,[3.88613861 3.31261426 3.43013972 3.88333333]
414,415,[4.45454545 3.88235294 3.84615385 4.5       ]
415,416,[4.25       3.04166667 2.         4.        ]
416,417,[0.         4.5        4.63333333 3.9       ]
417,418,[4.75       3.5952381  3.21875    3.53333333]
418,419,[3.5        3.72857143 3.69512195 2.75      ]
419,420,[4.03846154 3.88       3.55714286 3.5       ]
420,421,[4.3        3.58333333 2.25       0.        ]
421,422,[4.14285714 2.85       2.44444444 0.        ]
422,423,[4.5 4.5 2.  0. ]
423,424,[3.5        3.74137931 3.67741935 3.25      ]
424,425,[3.         3.47       3.61016949 3.5       ]
425,426,[0.         4.08333333 3.30645161 3.25      ]
426,427,[4.         3.46428571 3.37096774 0.        ]
427,428,[2.875      2.475      2.69827586 3.        ]
428,429,[0.      3.96875 0.      4.     ]
429,430,[3.5    3.5625 3.5    0.    ]
430,431,[4.  2.4 3.  0. ]
431,432,[4.125      3.44       3.62837838 3.75      ]
432,433,[0.   3.75 3.75 1.75]
433,434,[4.11111111 3.57746479 3.79       0.        ]
434,435,[4.5        3.91666667 4.42307692 0.        ]
435,436,[4.   3.25 0.   4.  ]
436,437,[4.33333333 3.72222222 0.         0.        ]
437,438,[3.45833333 3.52205882 3.21025641 2.66666667]
438,439,[0.         3.41666667 4.25       4.        ]
439,440,[4.5  3.95 4.1  0.  ]
440,441,[0.     4.3    4.5625 0.    ]
441,442,[0.         1.33333333 1.5        0.        ]
442,443,[4.         4.07142857 3.75       4.66666667]
443,444,[5.   3.65 0.   0.  ]
444,445,[4.         4.         3.39285714 5.        ]
445,446,[4.         3.16666667 0.         0.        ]
446,447,[4.         3.75555556 0.         0.        ]
447,448,[3.55113636 3.1125     2.84339623 2.58631922]
448,449,[0.         3.17857143 4.125      0.        ]
449,450,[4.25       4.11111111 3.875      0.        ]
450,451,[3.     3.8125 0.     0.    ]
451,452,[4.25       4.56321839 4.53571429 5.        ]
452,453,[4.         4.         3.74074074 3.        ]
453,454,[4.14285714 3.85       3.5        0.        ]
454,455,[3.     3.4375 0.     0.    ]
455,456,[0.         3.78947368 0.         5.        ]
456,457,[4.   3.4  2.75 0.  ]
457,458,[2.         4.11111111 0.         0.        ]
458,459,[0.         0.         4.13636364 4.875     ]
459,460,[0.         3.625      4.28378378 3.5       ]
460,461,[0.         3.66666667 2.25       1.83333333]
461,462,[3.75961538 3.06321839 3.15909091 3.6       ]
462,463,[0.     3.8125 3.6    0.    ]
463,464,[0.         3.73863636 3.72413793 4.5       ]
464,465,[4.625 4.    3.5   0.   ]
465,466,[0.         4.5        4.05357143 3.9375    ]
466,467,[0.         2.83333333 0.         0.        ]
467,468,[3.   3.45 0.   0.  ]
468,469,[4.         3.37837838 4.         4.        ]
469,470,[3.33333333 3.61702128 0.         0.        ]
470,471,[0.         4.1        3.72222222 4.        ]
471,472,[0.         3.83333333 2.5        0.        ]
472,473,[0.         3.16666667 3.79166667 0.        ]
473,474,[3.54471545 3.15064935 3.6840796  3.19444444]
474,475,[0.         4.75       4.30208333 4.19565217]
475,476,[4.         3.59459459 0.         4.        ]
476,477,[4.01086957 3.5        3.85245902 0.        ]
477,478,[3.5        2.71428571 3.08333333 0.        ]
478,479,[3.94444444 3.01851852 2.77777778 4.        ]
479,480,[3.73611111 3.37830688 3.03964758 2.33333333]
480,481,[0.         2.82352941 0.         2.        ]
481,482,[3.5        3.65714286 3.57407407 0.        ]
482,483,[3.75       3.2716763  3.75555556 3.77631579]
483,484,[3.81578947 3.84545455 3.8375     3.5       ]
484,485,[0.         3.92857143 0.         0.        ]
485,486,[0.    3.875 0.    0.   ]
486,487,[4.5        4.         2.71428571 3.        ]
487,488,[3.9        3.47727273 4.69230769 4.5       ]
488,489,[3.41666667 2.80909091 2.91911765 3.29166667]
489,490,[4.5        2.95454545 3.11111111 3.41666667]
490,491,[0.         4.38888889 4.15       3.55555556]
491,492,[3.5        3.93023256 0.         5.        ]
492,493,[3.  3.7 3.  0. ]
493,494,[3.   4.25 5.   0.  ]
494,495,[4.5        3.8375     3.76829268 4.59459459]
495,496,[4.16666667 0.         2.5        3.5       ]
496,497,[4.25 3.5  3.75 3.75]
497,498,[4.   3.95 0.   0.  ]
498,499,[3.5 4.5 3.  4. ]
499,500,[3.2        3.3125     4.33333333 0.        ]
500,501,[0.         3.16666667 0.         0.        ]
501,502,[4.125      3.2        1.83333333 0.        ]
502,503,[3.8        3.84090909 3.         1.8       ]
503,504,[0.         3.64705882 3.81666667 4.        ]
504,505,[4.25       4.14285714 4.         0.        ]
505,506,[0.         5.         3.34090909 4.25      ]
506,507,[0.         3.38461538 0.         0.        ]
507,508,[1.75       2.94444444 0.         0.        ]
508,509,[3.31818182 3.23958333 3.0130719  3.26470588]
509,510,[3.7        2.77142857 2.45833333 0.        ]
510,511,[4.         4.625      3.92857143 4.        ]
511,512,[0.         3.55172414 0.         0.        ]
512,513,[4.25 3.95 3.   0.  ]
513,514,[3.35869565 3.26767677 3.45652174 3.28947368]
514,515,[0.         5.         5.         4.64285714]
515,516,[4.66666667 3.33333333 0.         2.        ]
516,517,[2.9625     2.37349398 2.06617647 2.08695652]
517,518,[2.33333333 3.22222222 4.75       0.        ]
518,519,[0.  5.  4.3 4.5]
519,520,[4.07692308 3.78723404 3.86764706 0.        ]
520,521,[3.5        3.77777778 0.         0.        ]
521,522,[4.33333333 3.84444444 3.63829787 3.96153846]
522,523,[0.         4.625      4.73684211 4.57142857]
523,524,[3.625      3.38709677 0.         0.        ]
524,525,[3.37931034 3.72321429 3.34931507 3.49090909]
525,526,[4.5        4.11538462 4.25       4.35714286]
526,527,[4.28571429 4.1509434  4.5        0.        ]
527,528,[0.         3.66666667 3.13888889 3.8       ]
528,529,[2.5 3.  0.  0. ]
529,530,[0.         3.94117647 0.         0.        ]
530,531,[3.         3.66666667 3.         0.        ]
531,532,[3.5        4.22222222 0.         0.        ]
532,533,[3.83333333 4.5625     4.25       4.33333333]
533,534,[3.89285714 3.96710526 3.81889764 3.6547619 ]
534,535,[0.         2.66666667 0.         0.        ]
535,536,[5.         3.52631579 0.         0.        ]
536,537,[0.         2.75       4.91666667 4.16666667]
537,538,[4.375      4.35714286 4.25       0.        ]
538,539,[0.         3.3        4.45454545 3.        ]
539,540,[3.25       4.22727273 4.3125     0.        ]
540,541,[4.5        3.34090909 0.         0.        ]
541,542,[4.3        3.90909091 3.22058824 1.        ]
542,543,[5.         4.85       4.67647059 3.1       ]
543,544,[0. 4. 0. 0.]
544,545,[3.5   3.75  2.875 0.   ]
545,546,[2.66666667 3.58823529 3.33333333 0.        ]
546,547,[0.         4.27272727 0.         0.        ]
547,548,[0.         4.83333333 4.45       1.5       ]
548,549,[0. 4. 5. 3.]
549,550,[0.         4.         3.66666667 4.13636364]
550,551,[0.         3.90625    3.68571429 3.80434783]
551,552,[3.65625    3.         2.88461538 0.        ]
552,553,[3.5  4.25 4.5  0.  ]
553,554,[3.91304348 3.65217391 0.         0.        ]
554,555,[3.61764706 3.40725806 3.         3.        ]
555,556,[4.         4.5        4.05       4.08333333]
