,userId,movieId,user_vector,movie_vector,og_rating,pred_rating
81,6,266,[3.5        3.60833333 0.         4.        ],[0. 1. 0. 0.],3.0,3.6083333333333334
82,6,282,[3.5        3.60833333 0.         4.        ],[0. 1. 0. 0.],3.0,3.6083333333333334
83,6,339,[3.5        3.60833333 0.         4.        ],[0. 1. 0. 0.],4.0,3.6083333333333334
84,6,344,[3.5        3.60833333 0.         4.        ],[0. 1. 0. 0.],3.0,3.6083333333333334
85,6,356,[3.5        3.60833333 0.         4.        ],[0. 1. 0. 0.],5.0,3.6083333333333334
86,6,368,[3.5        3.60833333 0.         4.        ],[0. 1. 0. 0.],5.0,3.6083333333333334
87,6,435,[3.5        3.60833333 0.         4.        ],[0. 1. 0. 0.],3.0,3.6083333333333334
88,6,445,[3.5        3.60833333 0.         4.        ],[0. 1. 0. 0.],3.0,3.6083333333333334
89,6,494,[3.5        3.60833333 0.         4.        ],[0. 1. 0. 0.],3.0,3.6083333333333334
90,6,497,[3.5        3.60833333 0.         4.        ],[0. 1. 0. 0.],3.0,3.6083333333333334
91,6,540,[3.5        3.60833333 0.         4.        ],[0. 1. 0. 0.],3.0,3.6083333333333334
92,6,589,[3.5        3.60833333 0.         4.        ],[0. 1. 0. 0.],3.0,3.6083333333333334
93,6,595,[3.5        3.60833333 0.         4.        ],[0. 1. 0. 0.],5.0,3.6083333333333334
94,6,596,[3.5        3.60833333 0.         4.        ],[1. 0. 0. 0.],3.0,3.5
95,6,719,[3.5        3.60833333 0.         4.        ],[0. 1. 0. 0.],2.0,3.6083333333333334
96,6,802,[3.5        3.60833333 0.         4.        ],[0. 1. 0. 0.],4.0,3.6083333333333334
97,6,838,[3.5        3.60833333 0.         4.        ],[0. 1. 0. 0.],4.0,3.6083333333333334
98,6,991,[3.5        3.60833333 0.         4.        ],[0. 1. 0. 0.],4.0,3.6083333333333334
99,6,1042,[3.5        3.60833333 0.         4.        ],[0. 1. 0. 0.],3.0,3.6083333333333334
100,6,1084,[3.5        3.60833333 0.         4.        ],[1. 0. 0. 0.],3.0,3.5
101,7,356,[3.72222222 3.22       2.94791667 0.        ],[0. 1. 0. 0.],5.0,3.22
102,7,466,[3.72222222 3.22       2.94791667 0.        ],[0. 1. 0. 0.],5.0,3.22
103,7,480,[3.72222222 3.22       2.94791667 0.        ],[0. 1. 0. 0.],5.0,3.22
104,7,592,[3.72222222 3.22       2.94791667 0.        ],[0. 1. 0. 0.],3.0,3.22
105,7,1517,[3.72222222 3.22       2.94791667 0.        ],[0. 1. 0. 0.],3.5,3.22
106,7,3408,[3.72222222 3.22       2.94791667 0.        ],[0. 0. 1. 0.],4.5,2.9479166666666665
107,7,3994,[3.72222222 3.22       2.94791667 0.        ],[0. 0. 1. 0.],3.0,2.9479166666666665
108,7,4306,[3.72222222 3.22       2.94791667 0.        ],[0. 0. 1. 0.],4.0,2.9479166666666665
109,7,4874,[3.72222222 3.22       2.94791667 0.        ],[0. 0. 1. 0.],3.0,2.9479166666666665
110,7,5349,[3.72222222 3.22       2.94791667 0.        ],[0. 0. 1. 0.],3.5,2.9479166666666665
111,7,5502,[3.72222222 3.22       2.94791667 0.        ],[0. 0. 1. 0.],1.5,2.9479166666666665
112,7,5816,[3.72222222 3.22       2.94791667 0.        ],[0. 0. 1. 0.],4.5,2.9479166666666665
113,7,5991,[3.72222222 3.22       2.94791667 0.        ],[0. 0. 1. 0.],4.5,2.9479166666666665
114,7,8360,[3.72222222 3.22       2.94791667 0.        ],[0. 0. 1. 0.],3.5,2.9479166666666665
115,7,8666,[3.72222222 3.22       2.94791667 0.        ],[0. 0. 1. 0.],1.0,2.9479166666666665
116,7,8907,[3.72222222 3.22       2.94791667 0.        ],[0. 0. 1. 0.],1.0,2.9479166666666665
117,7,32031,[3.72222222 3.22       2.94791667 0.        ],[0. 0. 1. 0.],1.5,2.9479166666666665
118,7,33794,[3.72222222 3.22       2.94791667 0.        ],[0. 0. 1. 0.],2.0,2.9479166666666665
119,7,45730,[3.72222222 3.22       2.94791667 0.        ],[0. 0. 1. 0.],0.5,2.9479166666666665
120,7,48783,[3.72222222 3.22       2.94791667 0.        ],[0. 0. 1. 0.],4.5,2.9479166666666665
121,8,208,[0.         3.34615385 0.         0.        ],[0. 1. 0. 0.],3.0,3.3461538461538463
122,8,282,[0.         3.34615385 0.         0.        ],[0. 1. 0. 0.],3.0,3.3461538461538463
123,8,500,[0.         3.34615385 0.         0.        ],[0. 1. 0. 0.],2.0,3.3461538461538463
124,8,527,[0.         3.34615385 0.         0.        ],[0. 1. 0. 0.],5.0,3.3461538461538463
125,8,539,[0.         3.34615385 0.         0.        ],[0. 1. 0. 0.],3.0,3.3461538461538463
126,8,590,[0.         3.34615385 0.         0.        ],[0. 1. 0. 0.],5.0,3.3461538461538463
127,9,1095,[3.         2.66666667 3.33333333 0.        ],[0. 1. 0. 0.],4.0,2.6666666666666665
128,9,2012,[3.         2.66666667 3.33333333 0.        ],[0. 1. 0. 0.],4.0,2.6666666666666665
129,9,3173,[3.         2.66666667 3.33333333 0.        ],[0. 1. 0. 0.],2.0,2.6666666666666665
130,9,3328,[3.         2.66666667 3.33333333 0.        ],[0. 1. 0. 0.],3.0,2.6666666666666665
131,9,5445,[3.         2.66666667 3.33333333 0.        ],[0. 0. 1. 0.],4.0,3.3333333333333335
132,10,356,[2.25       2.55555556 3.34693878 3.33333333],[0. 1. 0. 0.],3.5,2.5555555555555554
133,10,588,[2.25       2.55555556 3.34693878 3.33333333],[0. 1. 0. 0.],4.0,2.5555555555555554
134,10,6155,[2.25       2.55555556 3.34693878 3.33333333],[0. 0. 1. 0.],3.0,3.3469387755102042
135,10,6942,[2.25       2.55555556 3.34693878 3.33333333],[0. 0. 1. 0.],4.0,3.3469387755102042
136,10,8636,[2.25       2.55555556 3.34693878 3.33333333],[0. 0. 1. 0.],3.5,3.3469387755102042
137,10,49272,[2.25       2.55555556 3.34693878 3.33333333],[0. 0. 1. 0.],5.0,3.3469387755102042
138,10,56367,[2.25       2.55555556 3.34693878 3.33333333],[0. 0. 1. 0.],3.5,3.3469387755102042
139,10,56949,[2.25       2.55555556 3.34693878 3.33333333],[0. 0. 1. 0.],3.0,3.3469387755102042
140,10,63113,[2.25       2.55555556 3.34693878 3.33333333],[0. 0. 1. 0.],3.5,3.3469387755102042
141,10,64969,[2.25       2.55555556 3.34693878 3.33333333],[0. 0. 1. 0.],0.5,3.3469387755102042
142,10,68954,[2.25       2.55555556 3.34693878 3.33333333],[0. 0. 1. 0.],4.0,3.3469387755102042
143,10,82499,[2.25       2.55555556 3.34693878 3.33333333],[0. 0. 1. 0.],2.0,3.3469387755102042
144,10,84374,[2.25       2.55555556 3.34693878 3.33333333],[0. 0. 0. 1.],3.5,3.3333333333333335
145,10,86548,[2.25       2.55555556 3.34693878 3.33333333],[0. 0. 0. 1.],3.0,3.3333333333333335
146,10,88163,[2.25       2.55555556 3.34693878 3.33333333],[0. 0. 0. 1.],4.0,3.3333333333333335
147,10,95167,[2.25       2.55555556 3.34693878 3.33333333],[0. 0. 0. 1.],4.0,3.3333333333333335
148,10,103339,[2.25       2.55555556 3.34693878 3.33333333],[0. 0. 0. 1.],4.0,3.3333333333333335
149,10,105211,[2.25       2.55555556 3.34693878 3.33333333],[0. 0. 0. 1.],2.5,3.3333333333333335
150,10,136020,[2.25       2.55555556 3.34693878 3.33333333],[0. 0. 0. 1.],5.0,3.3333333333333335
151,11,95,[0.         3.79487179 0.         0.        ],[0. 1. 0. 0.],3.0,3.7948717948717947
152,11,292,[0.         3.79487179 0.         0.        ],[0. 1. 0. 0.],4.0,3.7948717948717947
153,11,377,[0.         3.79487179 0.         0.        ],[0. 1. 0. 0.],3.0,3.7948717948717947
154,11,380,[0.         3.79487179 0.         0.        ],[0. 1. 0. 0.],4.0,3.7948717948717947
155,11,434,[0.         3.79487179 0.         0.        ],[0. 1. 0. 0.],3.0,3.7948717948717947
156,11,736,[0.         3.79487179 0.         0.        ],[0. 1. 0. 0.],4.0,3.7948717948717947
157,11,1586,[0.         3.79487179 0.         0.        ],[0. 1. 0. 0.],4.0,3.7948717948717947
158,11,1608,[0.         3.79487179 0.         0.        ],[0. 1. 0. 0.],4.0,3.7948717948717947
159,11,1704,[0.         3.79487179 0.         0.        ],[0. 1. 0. 0.],4.0,3.7948717948717947
160,11,2002,[0.         3.79487179 0.         0.        ],[0. 1. 0. 0.],2.0,3.7948717948717947
161,12,39,[4.75    4.28125 4.875   0.     ],[0. 1. 0. 0.],4.0,4.28125
162,12,168,[4.75    4.28125 4.875   0.     ],[0. 1. 0. 0.],5.0,4.28125
163,12,2100,[4.75    4.28125 4.875   0.     ],[0. 1. 0. 0.],3.5,4.28125
164,12,4018,[4.75    4.28125 4.875   0.     ],[0. 0. 1. 0.],4.5,4.875
165,12,5620,[4.75    4.28125 4.875   0.     ],[0. 0. 1. 0.],4.0,4.875
166,13,1590,[0.         3.16666667 4.1        0.        ],[0. 1. 0. 0.],4.0,3.1666666666666665
167,13,1619,[0.         3.16666667 4.1        0.        ],[0. 1. 0. 0.],3.0,3.1666666666666665
168,13,3409,[0.         3.16666667 4.1        0.        ],[0. 0. 1. 0.],2.0,4.1
169,13,3977,[0.         3.16666667 4.1        0.        ],[0. 0. 1. 0.],3.0,4.1
170,14,25,[3.   3.32 3.   4.  ],[0. 1. 0. 0.],4.0,3.32
171,14,95,[3.   3.32 3.   4.  ],[0. 1. 0. 0.],5.0,3.32
172,14,110,[3.   3.32 3.   4.  ],[0. 1. 0. 0.],5.0,3.32
173,14,193,[3.   3.32 3.   4.  ],[0. 1. 0. 0.],3.0,3.32
174,14,282,[3.   3.32 3.   4.  ],[0. 1. 0. 0.],5.0,3.32
175,14,480,[3.   3.32 3.   4.  ],[0. 1. 0. 0.],3.0,3.32
176,14,597,[3.   3.32 3.   4.  ],[0. 1. 0. 0.],3.0,3.32
177,15,1,[5.         3.76190476 3.46969697 3.20833333],[0. 1. 0. 0.],2.5,3.761904761904762
178,15,256,[5.         3.76190476 3.46969697 3.20833333],[0. 1. 0. 0.],3.0,3.761904761904762
179,15,596,[5.         3.76190476 3.46969697 3.20833333],[1. 0. 0. 0.],2.0,5.0
180,15,849,[5.         3.76190476 3.46969697 3.20833333],[0. 1. 0. 0.],2.0,3.761904761904762
181,15,2011,[5.         3.76190476 3.46969697 3.20833333],[0. 1. 0. 0.],5.0,3.761904761904762
182,15,2028,[5.         3.76190476 3.46969697 3.20833333],[0. 1. 0. 0.],3.5,3.761904761904762
183,15,3994,[5.         3.76190476 3.46969697 3.20833333],[0. 0. 1. 0.],3.0,3.4696969696969697
184,15,4022,[5.         3.76190476 3.46969697 3.20833333],[0. 0. 1. 0.],3.5,3.4696969696969697
185,15,8644,[5.         3.76190476 3.46969697 3.20833333],[0. 0. 1. 0.],3.5,3.4696969696969697
186,15,48774,[5.         3.76190476 3.46969697 3.20833333],[0. 0. 1. 0.],3.0,3.4696969696969697
187,15,60069,[5.         3.76190476 3.46969697 3.20833333],[0. 0. 1. 0.],3.5,3.4696969696969697
188,15,71057,[5.         3.76190476 3.46969697 3.20833333],[0. 0. 1. 0.],4.0,3.4696969696969697
189,15,101864,[5.         3.76190476 3.46969697 3.20833333],[0. 0. 0. 1.],4.0,3.2083333333333335
190,15,105504,[5.         3.76190476 3.46969697 3.20833333],[0. 0. 0. 1.],4.0,3.2083333333333335
191,15,111759,[5.         3.76190476 3.46969697 3.20833333],[0. 0. 0. 1.],4.5,3.2083333333333335
192,15,112852,[5.         3.76190476 3.46969697 3.20833333],[0. 0. 0. 1.],1.5,3.2083333333333335
193,15,115149,[5.         3.76190476 3.46969697 3.20833333],[0. 0. 0. 1.],2.0,3.2083333333333335
194,15,122882,[5.         3.76190476 3.46969697 3.20833333],[0. 0. 0. 1.],2.0,3.2083333333333335
195,15,134853,[5.         3.76190476 3.46969697 3.20833333],[0. 0. 0. 1.],4.5,3.2083333333333335
196,15,166635,[5.         3.76190476 3.46969697 3.20833333],[0. 0. 0. 1.],3.5,3.2083333333333335
197,16,356,[3.9375     3.61111111 3.64285714 0.        ],[0. 1. 0. 0.],3.5,3.611111111111111
198,16,1089,[3.9375     3.61111111 3.64285714 0.        ],[0. 1. 0. 0.],4.0,3.611111111111111
199,16,1219,[3.9375     3.61111111 3.64285714 0.        ],[1. 0. 0. 0.],3.0,3.9375
200,16,1222,[3.9375     3.61111111 3.64285714 0.        ],[0. 1. 0. 0.],4.5,3.611111111111111
201,16,1230,[3.9375     3.61111111 3.64285714 0.        ],[1. 0. 0. 0.],4.0,3.9375
202,16,1276,[3.9375     3.61111111 3.64285714 0.        ],[1. 0. 0. 0.],4.0,3.9375
203,16,1680,[3.9375     3.61111111 3.64285714 0.        ],[0. 1. 0. 0.],3.5,3.611111111111111
204,16,2707,[3.9375     3.61111111 3.64285714 0.        ],[0. 1. 0. 0.],3.5,3.611111111111111
205,16,4226,[3.9375     3.61111111 3.64285714 0.        ],[0. 0. 1. 0.],4.5,3.642857142857143
206,16,68954,[3.9375     3.61111111 3.64285714 0.        ],[0. 0. 1. 0.],4.0,3.642857142857143
207,17,111,[4.11111111 4.22222222 4.         0.        ],[1. 0. 0. 0.],4.0,4.111111111111111
208,17,150,[4.11111111 4.22222222 4.         0.        ],[0. 1. 0. 0.],3.5,4.222222222222222
209,17,296,[4.11111111 4.22222222 4.         0.        ],[0. 1. 0. 0.],5.0,4.222222222222222
210,17,541,[4.11111111 4.22222222 4.         0.        ],[0. 1. 0. 0.],3.5,4.222222222222222
211,17,899,[4.11111111 4.22222222 4.         0.        ],[1. 0. 0. 0.],3.5,4.111111111111111
212,17,1100,[4.11111111 4.22222222 4.         0.        ],[0. 1. 0. 0.],3.5,4.222222222222222
213,17,1259,[4.11111111 4.22222222 4.         0.        ],[0. 1. 0. 0.],4.0,4.222222222222222
214,17,3435,[4.11111111 4.22222222 4.         0.        ],[1. 0. 0. 0.],3.5,4.111111111111111
215,17,4226,[4.11111111 4.22222222 4.         0.        ],[0. 0. 1. 0.],4.0,4.0
216,17,4571,[4.11111111 4.22222222 4.         0.        ],[0. 1. 0. 0.],4.0,4.222222222222222
217,17,82459,[4.11111111 4.22222222 4.         0.        ],[0. 0. 1. 0.],4.0,4.0
218,18,34,[4.11363636 3.67857143 3.63207547 3.71052632],[0. 1. 0. 0.],2.5,3.6785714285714284
219,18,111,[4.11363636 3.67857143 3.63207547 3.71052632],[1. 0. 0. 0.],4.0,4.113636363636363
220,18,180,[4.11363636 3.67857143 3.63207547 3.71052632],[0. 1. 0. 0.],4.0,3.6785714285714284
221,18,329,[4.11363636 3.67857143 3.63207547 3.71052632],[0. 1. 0. 0.],4.0,3.6785714285714284
222,18,344,[4.11363636 3.67857143 3.63207547 3.71052632],[0. 1. 0. 0.],2.5,3.6785714285714284
223,18,466,[4.11363636 3.67857143 3.63207547 3.71052632],[0. 1. 0. 0.],2.5,3.6785714285714284
224,18,555,[4.11363636 3.67857143 3.63207547 3.71052632],[0. 1. 0. 0.],4.0,3.6785714285714284
225,18,586,[4.11363636 3.67857143 3.63207547 3.71052632],[0. 1. 0. 0.],3.5,3.6785714285714284
226,18,608,[4.11363636 3.67857143 3.63207547 3.71052632],[0. 1. 0. 0.],4.5,3.6785714285714284
227,18,673,[4.11363636 3.67857143 3.63207547 3.71052632],[0. 1. 0. 0.],3.0,3.6785714285714284
228,18,1020,[4.11363636 3.67857143 3.63207547 3.71052632],[0. 1. 0. 0.],3.5,3.6785714285714284
229,18,1222,[4.11363636 3.67857143 3.63207547 3.71052632],[0. 1. 0. 0.],4.5,3.6785714285714284
230,18,1260,[4.11363636 3.67857143 3.63207547 3.71052632],[1. 0. 0. 0.],4.0,4.113636363636363
231,18,1275,[4.11363636 3.67857143 3.63207547 3.71052632],[0. 1. 0. 0.],3.5,3.6785714285714284
232,18,1276,[4.11363636 3.67857143 3.63207547 3.71052632],[1. 0. 0. 0.],4.0,4.113636363636363
233,18,1370,[4.11363636 3.67857143 3.63207547 3.71052632],[0. 1. 0. 0.],3.5,3.6785714285714284
234,18,1924,[4.11363636 3.67857143 3.63207547 3.71052632],[1. 0. 0. 0.],2.5,4.113636363636363
235,18,2000,[4.11363636 3.67857143 3.63207547 3.71052632],[0. 1. 0. 0.],4.0,3.6785714285714284
236,18,2002,[4.11363636 3.67857143 3.63207547 3.71052632],[0. 1. 0. 0.],3.5,3.6785714285714284
237,18,2329,[4.11363636 3.67857143 3.63207547 3.71052632],[0. 1. 0. 0.],4.0,3.6785714285714284
238,18,2410,[4.11363636 3.67857143 3.63207547 3.71052632],[0. 1. 0. 0.],3.5,3.6785714285714284
239,18,2470,[4.11363636 3.67857143 3.63207547 3.71052632],[0. 1. 0. 0.],3.0,3.6785714285714284
240,18,2959,[4.11363636 3.67857143 3.63207547 3.71052632],[0. 1. 0. 0.],4.5,3.6785714285714284
241,18,3578,[4.11363636 3.67857143 3.63207547 3.71052632],[0. 0. 1. 0.],4.5,3.6320754716981134
242,18,3785,[4.11363636 3.67857143 3.63207547 3.71052632],[0. 0. 1. 0.],2.0,3.6320754716981134
243,18,4226,[4.11363636 3.67857143 3.63207547 3.71052632],[0. 0. 1. 0.],4.5,3.6320754716981134
244,18,4262,[4.11363636 3.67857143 3.63207547 3.71052632],[0. 1. 0. 0.],4.0,3.6785714285714284
245,18,4816,[4.11363636 3.67857143 3.63207547 3.71052632],[0. 0. 1. 0.],3.0,3.6320754716981134
246,18,4963,[4.11363636 3.67857143 3.63207547 3.71052632],[0. 0. 1. 0.],4.0,3.6320754716981134
247,18,5266,[4.11363636 3.67857143 3.63207547 3.71052632],[0. 0. 1. 0.],3.5,3.6320754716981134
248,18,6807,[4.11363636 3.67857143 3.63207547 3.71052632],[0. 1. 0. 0.],4.5,3.6785714285714284
249,18,7018,[4.11363636 3.67857143 3.63207547 3.71052632],[0. 1. 0. 0.],3.5,3.6785714285714284
250,18,7317,[4.11363636 3.67857143 3.63207547 3.71052632],[0. 0. 1. 0.],3.0,3.6320754716981134
251,18,7373,[4.11363636 3.67857143 3.63207547 3.71052632],[0. 0. 1. 0.],3.5,3.6320754716981134
252,18,8641,[4.11363636 3.67857143 3.63207547 3.71052632],[0. 0. 1. 0.],2.5,3.6320754716981134
253,18,8957,[4.11363636 3.67857143 3.63207547 3.71052632],[0. 0. 1. 0.],3.5,3.6320754716981134
254,18,33615,[4.11363636 3.67857143 3.63207547 3.71052632],[0. 0. 1. 0.],3.5,3.6320754716981134
255,18,34150,[4.11363636 3.67857143 3.63207547 3.71052632],[0. 0. 1. 0.],3.5,3.6320754716981134
256,18,36529,[4.11363636 3.67857143 3.63207547 3.71052632],[0. 0. 1. 0.],4.0,3.6320754716981134
257,18,44199,[4.11363636 3.67857143 3.63207547 3.71052632],[0. 0. 1. 0.],4.5,3.6320754716981134
258,18,45499,[4.11363636 3.67857143 3.63207547 3.71052632],[0. 0. 1. 0.],4.0,3.6320754716981134
259,18,50872,[4.11363636 3.67857143 3.63207547 3.71052632],[0. 0. 1. 0.],3.5,3.6320754716981134
260,18,53318,[4.11363636 3.67857143 3.63207547 3.71052632],[0. 0. 1. 0.],2.5,3.6320754716981134
