,movieId,era_vector
113,4921,[0. 1. 0. 0.]
114,7054,[0. 1. 0. 0.]
115,266,[0. 1. 0. 0.]
116,267,[0. 1. 0. 0.]
117,274,[0. 1. 0. 0.]
118,31867,[0. 1. 0. 0.]
119,276,[0. 1. 0. 0.]
120,277,[0. 1. 0. 0.]
121,2398,[0. 1. 0. 0.]
122,281,[0. 1. 0. 0.]
123,282,[0. 1. 0. 0.]
124,288,[0. 1. 0. 0.]
125,289,[0. 1. 0. 0.]
126,292,[0. 1. 0. 0.]
127,296,[0. 1. 0. 0.]
128,299,[0. 0. 0. 1.]
129,86835,[0. 0. 0. 1.]
130,300,[0. 1. 0. 0.]
131,316,[0. 1. 0. 0.]
132,319,[0. 1. 0. 0.]
133,329,[0. 1. 0. 0.]
134,332,[1. 0. 0. 0.]
135,2553,[1. 0. 0. 0.]
136,333,[0. 1. 0. 0.]
137,337,[0. 1. 0. 0.]
138,338,[0. 1. 0. 0.]
139,339,[0. 1. 0. 0.]
140,344,[0. 1. 0. 0.]
141,347,[0. 1. 0. 0.]
142,348,[0. 1. 0. 0.]
143,349,[0. 1. 0. 0.]
144,351,[0. 1. 0. 0.]
145,356,[0. 1. 0. 0.]
146,357,[0. 1. 0. 0.]
147,360,[0. 1. 0. 0.]
148,361,[0. 1. 0. 0.]
149,365,[0. 1. 0. 0.]
150,368,[0. 1. 0. 0.]
151,372,[0. 1. 0. 0.]
152,377,[0. 1. 0. 0.]
153,379,[0. 1. 0. 0.]
154,380,[0. 1. 0. 0.]
155,382,[0. 1. 0. 0.]
156,383,[0. 1. 0. 0.]
157,384,[0. 0. 1. 0.]
158,5414,[0. 0. 1. 0.]
159,386,[0. 1. 0. 0.]
160,393,[0. 1. 0. 0.]
161,407,[0. 1. 0. 0.]
162,409,[0. 1. 0. 0.]
163,410,[0. 1. 0. 0.]
164,413,[0. 1. 0. 0.]
165,420,[0. 1. 0. 0.]
166,421,[0. 0. 0. 1.]
167,422,[0. 0. 0. 1.]
168,427,[0. 1. 0. 0.]
169,431,[0. 1. 0. 0.]
170,432,[0. 1. 0. 0.]
171,434,[0. 1. 0. 0.]
172,435,[0. 1. 0. 0.]
173,436,[0. 1. 0. 0.]
174,440,[0. 1. 0. 0.]
175,441,[0. 1. 0. 0.]
176,442,[0. 1. 0. 0.]
177,445,[0. 1. 0. 0.]
178,448,[0. 0. 1. 0.]
179,453,[0. 1. 0. 0.]
180,455,[0. 1. 0. 0.]
181,456,[0. 1. 0. 0.]
182,461,[0. 1. 0. 0.]
183,464,[0. 1. 0. 0.]
184,466,[0. 1. 0. 0.]
185,470,[0. 1. 0. 0.]
186,473,[0. 1. 0. 0.]
187,474,[0. 1. 0. 0.]
188,475,[0. 1. 0. 0.]
189,477,[0. 0. 0. 1.]
190,479,[0. 1. 0. 0.]
191,480,[0. 1. 0. 0.]
192,481,[0. 1. 0. 0.]
193,484,[0. 1. 0. 0.]
194,485,[0. 1. 0. 0.]
195,486,[0. 1. 0. 0.]
196,487,[0. 1. 0. 0.]
197,488,[0. 1. 0. 0.]
198,490,[0. 1. 0. 0.]
199,492,[0. 1. 0. 0.]
200,493,[0. 1. 0. 0.]
201,494,[0. 1. 0. 0.]
202,497,[0. 1. 0. 0.]
203,103027,[0. 1. 0. 0.]
204,500,[0. 1. 0. 0.]
205,501,[0. 1. 0. 0.]
206,504,[0. 1. 0. 0.]
207,505,[0. 1. 0. 0.]
208,506,[0. 1. 0. 0.]
209,508,[0. 1. 0. 0.]
210,510,[0. 1. 0. 0.]
211,517,[0. 1. 0. 0.]
212,519,[0. 1. 0. 0.]
213,520,[0. 1. 0. 0.]
214,524,[0. 1. 0. 0.]
215,527,[0. 1. 0. 0.]
216,532,[0. 1. 0. 0.]
217,535,[0. 1. 0. 0.]
218,538,[0. 1. 0. 0.]
219,539,[0. 1. 0. 0.]
220,540,[0. 1. 0. 0.]
221,541,[0. 1. 0. 0.]
222,542,[0. 1. 0. 0.]
223,543,[0. 1. 0. 0.]
224,544,[0. 1. 0. 0.]
225,546,[0. 1. 0. 0.]
226,553,[0. 1. 0. 0.]
227,555,[0. 1. 0. 0.]
228,562,[0. 1. 0. 0.]
229,563,[0. 1. 0. 0.]
230,567,[0. 1. 0. 0.]
231,574,[0. 1. 0. 0.]
232,586,[0. 1. 0. 0.]
233,587,[0. 1. 0. 0.]
234,588,[0. 1. 0. 0.]
235,589,[0. 1. 0. 0.]
236,590,[0. 1. 0. 0.]
237,592,[0. 1. 0. 0.]
238,26152,[0. 1. 0. 0.]
239,594,[1. 0. 0. 0.]
240,595,[0. 1. 0. 0.]
241,168366,[0. 1. 0. 0.]
242,596,[1. 0. 0. 0.]
243,5990,[1. 0. 0. 0.]
244,597,[0. 1. 0. 0.]
245,605,[0. 1. 0. 0.]
246,606,[0. 1. 0. 0.]
247,608,[0. 1. 0. 0.]
248,609,[0. 1. 0. 0.]
249,610,[0. 1. 0. 0.]
250,611,[0. 1. 0. 0.]
251,613,[0. 0. 0. 1.]
252,6983,[0. 0. 0. 1.]
253,7190,[0. 0. 0. 1.]
254,85438,[0. 0. 0. 1.]
255,628,[0. 1. 0. 0.]
256,631,[0. 1. 0. 0.]
257,636,[0. 1. 0. 0.]
258,640,[0. 1. 0. 0.]
259,647,[0. 1. 0. 0.]
260,648,[0. 1. 0. 0.]
261,661,[0. 1. 0. 0.]
262,662,[0. 1. 0. 0.]
263,665,[0. 1. 0. 0.]
264,673,[0. 1. 0. 0.]
265,674,[1. 0. 0. 0.]
266,692,[1. 0. 0. 0.]
267,695,[0. 1. 0. 0.]
268,2561,[0. 1. 0. 0.]
269,703,[0. 0. 0. 1.]
270,707,[0. 1. 0. 0.]
271,709,[0. 1. 0. 0.]
272,714,[0. 1. 0. 0.]
273,719,[0. 1. 0. 0.]
274,736,[0. 1. 0. 0.]
275,7781,[0. 1. 0. 0.]
276,742,[0. 1. 0. 0.]
277,743,[0. 1. 0. 0.]
278,750,[1. 0. 0. 0.]
279,762,[0. 1. 0. 0.]
280,765,[0. 1. 0. 0.]
281,773,[1. 0. 0. 0.]
282,775,[1. 0. 0. 0.]
283,778,[0. 1. 0. 0.]
284,781,[0. 1. 0. 0.]
285,785,[0. 1. 0. 0.]
286,786,[0. 1. 0. 0.]
287,798,[0. 1. 0. 0.]
288,800,[0. 1. 0. 0.]
289,802,[0. 1. 0. 0.]
290,804,[0. 1. 0. 0.]
291,810,[0. 1. 0. 0.]
292,832,[0. 1. 0. 0.]
293,836,[0. 1. 0. 0.]
294,837,[0. 1. 0. 0.]
295,838,[0. 1. 0. 0.]
296,26958,[0. 1. 0. 0.]
297,84847,[0. 1. 0. 0.]
298,849,[0. 1. 0. 0.]
299,852,[0. 1. 0. 0.]
300,866,[0. 1. 0. 0.]
301,875,[0. 1. 0. 0.]
302,7048,[0. 1. 0. 0.]
303,885,[0. 1. 0. 0.]
304,886,[0. 1. 0. 0.]
305,899,[1. 0. 0. 0.]
306,901,[1. 0. 0. 0.]
307,902,[1. 0. 0. 0.]
308,903,[1. 0. 0. 0.]
309,904,[1. 0. 0. 0.]
310,905,[1. 0. 0. 0.]
311,906,[1. 0. 0. 0.]
312,908,[1. 0. 0. 0.]
313,910,[1. 0. 0. 0.]
314,911,[1. 0. 0. 0.]
315,912,[1. 0. 0. 0.]
316,914,[1. 0. 0. 0.]
317,916,[1. 0. 0. 0.]
318,918,[1. 0. 0. 0.]
319,920,[1. 0. 0. 0.]
320,923,[1. 0. 0. 0.]
321,924,[1. 0. 0. 0.]
322,926,[1. 0. 0. 0.]
323,928,[1. 0. 0. 0.]
324,929,[1. 0. 0. 0.]
325,930,[0. 0. 1. 0.]
326,65810,[0. 0. 1. 0.]
327,931,[1. 0. 0. 0.]
328,6331,[1. 0. 0. 0.]
329,149508,[1. 0. 0. 0.]
330,933,[1. 0. 0. 0.]
331,934,[0. 1. 0. 0.]
332,6944,[0. 1. 0. 0.]
333,936,[1. 0. 0. 0.]
334,937,[1. 0. 0. 0.]
335,938,[1. 0. 0. 0.]
336,89939,[1. 0. 0. 0.]
337,942,[1. 0. 0. 0.]
338,944,[1. 0. 0. 0.]
339,945,[1. 0. 0. 0.]
340,946,[1. 0. 0. 0.]
341,947,[1. 0. 0. 0.]
342,3096,[1. 0. 0. 0.]
343,948,[1. 0. 0. 0.]
344,949,[1. 0. 0. 0.]
345,951,[1. 0. 0. 0.]
346,952,[0. 0. 1. 0.]
347,8526,[0. 0. 1. 0.]
348,953,[1. 0. 0. 0.]
349,954,[1. 0. 0. 0.]
350,955,[1. 0. 0. 0.]
351,961,[1. 0. 0. 0.]
352,968,[0. 1. 0. 0.]
353,8225,[0. 1. 0. 0.]
354,971,[1. 0. 0. 0.]
355,973,[1. 0. 0. 0.]
356,982,[0. 1. 0. 0.]
357,986,[0. 1. 0. 0.]
358,990,[0. 1. 0. 0.]
359,991,[0. 1. 0. 0.]
360,996,[0. 1. 0. 0.]
361,999,[0. 1. 0. 0.]
362,1005,[0. 1. 0. 0.]
363,1011,[1. 0. 0. 0.]
364,1012,[1. 0. 0. 0.]
365,1015,[0. 1. 0. 0.]
366,1017,[1. 0. 0. 0.]
367,1018,[1. 0. 0. 0.]
368,1019,[1. 0. 0. 0.]
369,62383,[1. 0. 0. 0.]
370,1020,[0. 1. 0. 0.]
371,1021,[0. 1. 0. 0.]
372,1022,[1. 0. 0. 0.]
373,63239,[1. 0. 0. 0.]
374,130073,[1. 0. 0. 0.]
375,1027,[0. 1. 0. 0.]
376,1028,[1. 0. 0. 0.]
377,1029,[1. 0. 0. 0.]
378,1030,[1. 0. 0. 0.]
379,160573,[1. 0. 0. 0.]
380,1031,[1. 0. 0. 0.]
381,1032,[1. 0. 0. 0.]
382,74789,[1. 0. 0. 0.]
383,80748,[1. 0. 0. 0.]
384,1034,[0. 1. 0. 0.]
385,1036,[0. 1. 0. 0.]
386,1041,[0. 1. 0. 0.]
387,1042,[0. 1. 0. 0.]
388,1046,[0. 1. 0. 0.]
389,1057,[0. 1. 0. 0.]
390,1060,[0. 1. 0. 0.]
391,1061,[0. 1. 0. 0.]
392,1064,[0. 1. 0. 0.]
393,1073,[1. 0. 0. 0.]
394,1077,[1. 0. 0. 0.]
395,1078,[1. 0. 0. 0.]
396,1081,[0. 1. 0. 0.]
397,1084,[1. 0. 0. 0.]
398,1086,[1. 0. 0. 0.]
399,1088,[0. 1. 0. 0.]
400,1089,[0. 1. 0. 0.]
401,1090,[0. 1. 0. 0.]
402,1091,[0. 1. 0. 0.]
403,1092,[0. 1. 0. 0.]
404,1095,[0. 1. 0. 0.]
405,1096,[0. 1. 0. 0.]
406,1097,[0. 1. 0. 0.]
407,1100,[0. 1. 0. 0.]
408,1101,[0. 1. 0. 0.]
409,1103,[1. 0. 0. 0.]
410,1105,[0. 1. 0. 0.]
411,1124,[0. 1. 0. 0.]
412,1129,[0. 1. 0. 0.]
413,1131,[0. 1. 0. 0.]
414,1136,[1. 0. 0. 0.]
415,1163,[0. 1. 0. 0.]
416,1167,[0. 1. 0. 0.]
417,1175,[0. 1. 0. 0.]
418,1178,[1. 0. 0. 0.]
419,1184,[0. 1. 0. 0.]
420,1188,[0. 1. 0. 0.]
421,1191,[0. 1. 0. 0.]
422,1193,[1. 0. 0. 0.]
423,1199,[0. 1. 0. 0.]
424,1200,[0. 1. 0. 0.]
425,1202,[0. 1. 0. 0.]
426,1203,[1. 0. 0. 0.]
427,77846,[1. 0. 0. 0.]
428,1204,[1. 0. 0. 0.]
429,1207,[1. 0. 0. 0.]
430,1208,[1. 0. 0. 0.]
431,1214,[1. 0. 0. 0.]
432,1215,[0. 1. 0. 0.]
433,1217,[0. 1. 0. 0.]
434,1219,[1. 0. 0. 0.]
435,2389,[1. 0. 0. 0.]
436,1222,[0. 1. 0. 0.]
437,1224,[0. 1. 0. 0.]
438,1225,[0. 1. 0. 0.]
439,1227,[0. 1. 0. 0.]
440,1228,[1. 0. 0. 0.]
441,1230,[1. 0. 0. 0.]
442,1232,[1. 0. 0. 0.]
443,1235,[1. 0. 0. 0.]
444,1242,[0. 1. 0. 0.]
445,1244,[1. 0. 0. 0.]
446,1245,[0. 1. 0. 0.]
447,1246,[0. 1. 0. 0.]
448,1248,[1. 0. 0. 0.]
449,1252,[1. 0. 0. 0.]
450,1255,[0. 1. 0. 0.]
451,1256,[1. 0. 0. 0.]
452,1257,[0. 1. 0. 0.]
453,1259,[0. 1. 0. 0.]
454,1260,[1. 0. 0. 0.]
455,1265,[0. 1. 0. 0.]
456,1266,[0. 1. 0. 0.]
457,144352,[0. 1. 0. 0.]
458,1268,[0. 1. 0. 0.]
459,1269,[1. 0. 0. 0.]
460,1270,[0. 1. 0. 0.]
461,1271,[0. 1. 0. 0.]
462,1272,[1. 0. 0. 0.]
463,1273,[0. 1. 0. 0.]
464,1274,[0. 1. 0. 0.]
465,1275,[0. 1. 0. 0.]
466,1276,[1. 0. 0. 0.]
467,1277,[0. 1. 0. 0.]
468,1278,[1. 0. 0. 0.]
469,1279,[0. 1. 0. 0.]
470,1282,[1. 0. 0. 0.]
471,1283,[1. 0. 0. 0.]
472,1285,[0. 1. 0. 0.]
473,1286,[1. 0. 0. 0.]
474,1287,[1. 0. 0. 0.]
475,1288,[0. 1. 0. 0.]
476,1290,[0. 1. 0. 0.]
477,1291,[0. 1. 0. 0.]
478,1292,[1. 0. 0. 0.]
479,1293,[0. 1. 0. 0.]
480,1297,[0. 1. 0. 0.]
481,1298,[0. 1. 0. 0.]
482,1301,[1. 0. 0. 0.]
483,1302,[0. 1. 0. 0.]
484,1304,[1. 0. 0. 0.]
485,1305,[0. 1. 0. 0.]
486,1307,[0. 1. 0. 0.]
487,1322,[0. 1. 0. 0.]
488,1323,[0. 1. 0. 0.]
489,1326,[0. 1. 0. 0.]
490,1330,[0. 1. 0. 0.]
491,1341,[1. 0. 0. 0.]
492,1342,[0. 1. 0. 0.]
493,1343,[0. 1. 0. 0.]
494,1344,[0. 1. 0. 0.]
495,1345,[1. 0. 0. 0.]
496,32914,[1. 0. 0. 0.]
497,105731,[1. 0. 0. 0.]
498,1346,[1. 0. 0. 0.]
499,7713,[1. 0. 0. 0.]
500,1354,[0. 1. 0. 0.]
501,1355,[0. 1. 0. 0.]
502,1356,[0. 1. 0. 0.]
503,1357,[0. 1. 0. 0.]
504,1359,[0. 1. 0. 0.]
505,1361,[0. 1. 0. 0.]
506,1367,[0. 1. 0. 0.]
507,1370,[0. 1. 0. 0.]
508,1371,[1. 0. 0. 0.]
509,1372,[0. 1. 0. 0.]
510,1373,[0. 1. 0. 0.]
511,1374,[0. 1. 0. 0.]
512,1375,[0. 1. 0. 0.]
513,1376,[0. 1. 0. 0.]
514,1377,[0. 1. 0. 0.]
515,1378,[0. 1. 0. 0.]
516,1379,[0. 1. 0. 0.]
517,1380,[1. 0. 0. 0.]
518,1381,[0. 1. 0. 0.]
519,1382,[0. 1. 0. 0.]
520,1385,[0. 1. 0. 0.]
521,1387,[1. 0. 0. 0.]
522,1388,[1. 0. 0. 0.]
523,1389,[0. 1. 0. 0.]
524,1390,[0. 1. 0. 0.]
525,1391,[0. 1. 0. 0.]
526,1393,[0. 1. 0. 0.]
527,1394,[0. 1. 0. 0.]
528,1396,[0. 1. 0. 0.]
529,1398,[0. 1. 0. 0.]
530,1399,[0. 1. 0. 0.]
531,1405,[0. 1. 0. 0.]
532,1407,[0. 0. 0. 1.]
533,1409,[0. 1. 0. 0.]
534,1411,[0. 1. 0. 0.]
535,1941,[0. 1. 0. 0.]
536,2820,[0. 1. 0. 0.]
537,3598,[0. 1. 0. 0.]
538,3723,[0. 1. 0. 0.]
539,1414,[0. 0. 1. 0.]
540,1416,[0. 1. 0. 0.]
541,1422,[0. 1. 0. 0.]
542,1425,[0. 1. 0. 0.]
543,1430,[1. 0. 0. 0.]
544,6754,[1. 0. 0. 0.]
545,1431,[0. 1. 0. 0.]
546,1432,[0. 1. 0. 0.]
547,1438,[0. 1. 0. 0.]
548,1441,[0. 1. 0. 0.]
549,1449,[0. 1. 0. 0.]
550,1457,[0. 1. 0. 0.]
551,1459,[0. 1. 0. 0.]
552,1464,[0. 1. 0. 0.]
553,1466,[0. 1. 0. 0.]
554,1475,[0. 1. 0. 0.]
555,1476,[0. 1. 0. 0.]
556,1483,[0. 1. 0. 0.]
557,33166,[0. 1. 0. 0.]
558,1485,[0. 1. 0. 0.]
559,1487,[0. 1. 0. 0.]
560,1489,[0. 1. 0. 0.]
561,1495,[0. 1. 0. 0.]
562,1496,[0. 0. 0. 1.]
563,7092,[0. 0. 0. 1.]
564,97936,[0. 0. 0. 1.]
565,1497,[0. 1. 0. 0.]
566,1498,[0. 1. 0. 0.]
567,1499,[0. 1. 0. 0.]
568,1500,[0. 1. 0. 0.]
569,1515,[0. 1. 0. 0.]
570,1517,[0. 1. 0. 0.]
571,1518,[0. 1. 0. 0.]
572,1526,[0. 1. 0. 0.]
573,1529,[0. 1. 0. 0.]
574,1541,[0. 1. 0. 0.]
575,1542,[0. 1. 0. 0.]
576,1552,[0. 1. 0. 0.]
577,1556,[0. 1. 0. 0.]
578,1562,[0. 1. 0. 0.]
579,1566,[0. 1. 0. 0.]
580,112911,[0. 1. 0. 0.]
581,1569,[0. 1. 0. 0.]
582,1573,[0. 1. 0. 0.]
583,1574,[0. 0. 0. 1.]
584,1584,[0. 1. 0. 0.]
585,1586,[0. 1. 0. 0.]
586,1587,[0. 1. 0. 0.]
587,89190,[0. 1. 0. 0.]
588,1588,[0. 1. 0. 0.]
589,1589,[0. 1. 0. 0.]
590,1590,[0. 1. 0. 0.]
591,1591,[0. 1. 0. 0.]
592,1592,[0. 1. 0. 0.]
593,1593,[0. 1. 0. 0.]
594,1597,[0. 1. 0. 0.]
595,1598,[0. 1. 0. 0.]
596,1599,[0. 1. 0. 0.]
597,1603,[0. 1. 0. 0.]
598,1605,[0. 1. 0. 0.]
599,1606,[0. 1. 0. 0.]
600,1608,[0. 1. 0. 0.]
601,1611,[0. 1. 0. 0.]
602,1614,[0. 1. 0. 0.]
603,1617,[0. 1. 0. 0.]
604,1619,[0. 1. 0. 0.]
605,1620,[0. 1. 0. 0.]
606,1621,[0. 1. 0. 0.]
607,1623,[0. 1. 0. 0.]
608,1626,[0. 1. 0. 0.]
609,1627,[0. 0. 0. 1.]
610,1639,[0. 1. 0. 0.]
611,1644,[0. 1. 0. 0.]
612,1645,[0. 1. 0. 0.]
613,1653,[0. 1. 0. 0.]
614,1663,[0. 1. 0. 0.]
615,1665,[0. 1. 0. 0.]
616,1673,[0. 1. 0. 0.]
617,1674,[0. 1. 0. 0.]
618,1676,[0. 1. 0. 0.]
619,1680,[0. 1. 0. 0.]
620,1681,[0. 1. 0. 0.]
621,1688,[0. 1. 0. 0.]
622,6516,[0. 1. 0. 0.]
623,1693,[0. 1. 0. 0.]
624,1696,[0. 1. 0. 0.]
625,1701,[0. 1. 0. 0.]
626,1702,[0. 1. 0. 0.]
627,1704,[0. 1. 0. 0.]
628,1707,[0. 1. 0. 0.]
629,1711,[0. 1. 0. 0.]
630,1717,[0. 1. 0. 0.]
631,1721,[0. 1. 0. 0.]
632,3404,[0. 1. 0. 0.]
633,1722,[0. 1. 0. 0.]
634,1729,[0. 1. 0. 0.]
635,1730,[0. 1. 0. 0.]
636,1735,[0. 1. 0. 0.]
637,25923,[0. 1. 0. 0.]
638,1747,[0. 1. 0. 0.]
639,1748,[0. 1. 0. 0.]
640,1752,[0. 1. 0. 0.]
641,1753,[0. 1. 0. 0.]
642,1754,[0. 1. 0. 0.]
643,1760,[0. 1. 0. 0.]
644,1762,[0. 1. 0. 0.]
645,1770,[0. 1. 0. 0.]
646,1772,[0. 1. 0. 0.]
647,1779,[0. 1. 0. 0.]
648,1784,[0. 1. 0. 0.]
649,1785,[0. 1. 0. 0.]
650,1791,[0. 0. 1. 0.]
651,63992,[0. 0. 1. 0.]
652,1792,[0. 1. 0. 0.]
653,1797,[0. 0. 0. 1.]
654,142448,[0. 0. 0. 1.]
655,1798,[0. 0. 0. 1.]
656,156726,[0. 0. 0. 1.]
657,1805,[0. 1. 0. 0.]
658,1806,[0. 1. 0. 0.]
659,1831,[0. 1. 0. 0.]
660,1833,[0. 1. 0. 0.]
661,1835,[0. 1. 0. 0.]
662,1840,[0. 1. 0. 0.]
663,1845,[0. 1. 0. 0.]
664,1862,[0. 1. 0. 0.]
665,1863,[0. 1. 0. 0.]
666,1867,[0. 1. 0. 0.]
667,1870,[0. 1. 0. 0.]
668,1876,[0. 1. 0. 0.]
669,1881,[0. 1. 0. 0.]
670,1882,[0. 1. 0. 0.]
671,111364,[0. 1. 0. 0.]
672,1883,[0. 1. 0. 0.]
673,1884,[0. 1. 0. 0.]
674,1888,[0. 1. 0. 0.]
675,1889,[0. 0. 1. 0.]
676,5388,[0. 0. 1. 0.]
677,1894,[0. 1. 0. 0.]
678,1895,[0. 1. 0. 0.]
679,1907,[0. 1. 0. 0.]
680,1912,[0. 1. 0. 0.]
681,1913,[1. 0. 0. 0.]
682,1917,[0. 1. 0. 0.]
683,1918,[0. 1. 0. 0.]
684,1920,[0. 1. 0. 0.]
685,1921,[0. 1. 0. 0.]
686,1923,[0. 1. 0. 0.]
687,1924,[1. 0. 0. 0.]
688,1927,[0. 0. 0. 1.]
689,1928,[1. 0. 0. 0.]
690,1929,[1. 0. 0. 0.]
691,1931,[1. 0. 0. 0.]
692,26085,[1. 0. 0. 0.]
693,1934,[1. 0. 0. 0.]
694,1936,[1. 0. 0. 0.]
695,1937,[1. 0. 0. 0.]
696,1940,[1. 0. 0. 0.]
697,1942,[0. 0. 1. 0.]
698,48326,[0. 0. 1. 0.]
699,1944,[1. 0. 0. 0.]
700,1945,[1. 0. 0. 0.]
701,1946,[1. 0. 0. 0.]
702,1947,[1. 0. 0. 0.]
703,1948,[1. 0. 0. 0.]
704,1950,[1. 0. 0. 0.]
705,1951,[1. 0. 0. 0.]
706,1952,[1. 0. 0. 0.]
707,1954,[1. 0. 0. 0.]
708,1955,[1. 0. 0. 0.]
709,1956,[1. 0. 0. 0.]
710,1957,[0. 1. 0. 0.]
711,1958,[0. 1. 0. 0.]
712,1959,[0. 1. 0. 0.]
713,1961,[0. 1. 0. 0.]
714,1962,[0. 1. 0. 0.]
715,1963,[1. 0. 0. 0.]
716,1965,[0. 1. 0. 0.]
717,1967,[0. 1. 0. 0.]
718,1974,[1. 0. 0. 0.]
719,66783,[1. 0. 0. 0.]
720,1975,[0. 1. 0. 0.]
721,1979,[0. 1. 0. 0.]
722,1980,[0. 1. 0. 0.]
723,1981,[0. 1. 0. 0.]
724,1982,[1. 0. 0. 0.]
725,54785,[1. 0. 0. 0.]
726,1983,[0. 1. 0. 0.]
727,70994,[0. 1. 0. 0.]
728,1984,[0. 1. 0. 0.]
729,1985,[0. 1. 0. 0.]
730,1986,[0. 1. 0. 0.]
731,1987,[1. 0. 0. 0.]
732,59306,[1. 0. 0. 0.]
733,1991,[0. 1. 0. 0.]
734,1992,[0. 1. 0. 0.]
735,1993,[0. 1. 0. 0.]
736,1994,[0. 1. 0. 0.]
737,1995,[0. 1. 0. 0.]
738,1996,[0. 1. 0. 0.]
739,1998,[1. 0. 0. 0.]
740,2000,[0. 1. 0. 0.]
741,2001,[0. 1. 0. 0.]
742,2002,[0. 1. 0. 0.]
743,2003,[0. 1. 0. 0.]
744,2004,[0. 1. 0. 0.]
745,2009,[1. 0. 0. 0.]
746,2010,[1. 0. 0. 0.]
747,5072,[1. 0. 0. 0.]
748,2011,[0. 1. 0. 0.]
749,2012,[0. 1. 0. 0.]
750,2014,[0. 0. 1. 0.]
751,6593,[0. 0. 1. 0.]
752,2017,[1. 0. 0. 0.]
